submitted_name	matched_name	label
Lonchothrix_emiliae	Lonchothrix emiliae	Lonchothrix_emiliae
Mesomys_occultus	Mesomys occultus	Mesomys_occultus
Mesomys_stimulax	Mesomys stimulax	Mesomys_stimulax
Mesomys_hispidus	Mesomys hispidus	Mesomys_hispidus
Trinomys_gratiosus	Trinomys gratiosus	Trinomys_gratiosus
Trinomys_moojeni	Trinomys moojeni	Trinomys_moojeni
Trinomys_dimidiatus	Trinomys dimidiatus	Trinomys_dimidiatus
Trinomys_iheringi	Trinomys iheringi	Trinomys_iheringi
Trinomys_albispinus	Trinomys albispinus	Trinomys_albispinus
Trinomys_setosus	Trinomys setosus	Trinomys_setosus
Thrichomys_fosteri	Thrichomys fosteri	Thrichomys_fosteri
Thrichomys_pachyurus	Thrichomys pachyurus	Thrichomys_pachyurus
Thrichomys_laurentius	Thrichomys laurentius	Thrichomys_laurentius
Thrichomys_inermis	Thrichomys inermis	Thrichomys_inermis
Trinomys_yonenagae	Trinomys yonenagae	Trinomys_yonenagae
Trinomys_eliasi	Trinomys eliasi	Trinomys_eliasi
Trinomys_paratus	Trinomys paratus	Trinomys_paratus
Clyomys_laticeps	Clyomys laticeps	Clyomys_laticeps
Euryzygomatomys_spinosus	Euryzygomatomys spinosus	Euryzygomatomys_spinosus
Carterodon_sulcidens	Carterodon sulcidens	Carterodon_sulcidens
Plagiodontia_aedium	Plagiodontia aedium	Plagiodontia_aedium
Geocapromys_ingrahami	Geocapromys ingrahami	Geocapromys_ingrahami
Geocapromys_brownii	Geocapromys brownii	Geocapromys_brownii
Capromys_pilorides	Capromys pilorides	Capromys_pilorides
Mysateles_prehensilis	Mysateles prehensilis	Mysateles_prehensilis
Mesocapromys_melanurus	Mesocapromys melanurus	Mesocapromys_melanurus
Mesocapromys_auritus	Mesocapromys auritus	Mesocapromys_auritus
Mesocapromys_angelcabrerai	Mesocapromys angelcabrerai	Mesocapromys_angelcabrerai
Abrocoma_boliviensis	Abrocoma boliviensis	Abrocoma_boliviensis
Abrocoma_bennettii	Abrocoma bennettii	Abrocoma_bennettii
Abrocoma_cinerea	Abrocoma cinerea	Abrocoma_cinerea
Cuscomys_ashaninka	Cuscomys ashaninka	Cuscomys_ashaninka
Cuniculus_paca	Cuniculus paca	Cuniculus_paca
Cuniculus_taczanowskii	Cuniculus taczanowskii	Cuniculus_taczanowskii
Myoprocta_acouchy	Myoprocta acouchy	Myoprocta_acouchy
Myoprocta_pratti	Myoprocta pratti	Myoprocta_pratti
Dasyprocta_azarae	Dasyprocta azarae	Dasyprocta_azarae
Dasyprocta_fuliginosa	Dasyprocta fuliginosa	Dasyprocta_fuliginosa
Dasyprocta_leporina	Dasyprocta leporina	Dasyprocta_leporina
Dasyprocta_punctata	Dasyprocta punctata	Dasyprocta_punctata
Dolichotis_salinicola	Dolichotis salinicola	Dolichotis_salinicola
Dolichotis_patagonum	Dolichotis patagonum	Dolichotis_patagonum
Kerodon_acrobata	Kerodon acrobata	Kerodon_acrobata
Kerodon_rupestris	Kerodon rupestris	Kerodon_rupestris
Hydrochoerus_hydrochaeris	Hydrochoerus hydrochaeris	Hydrochoerus_hydrochaeris
Microcavia_niata	Microcavia niata	Microcavia_niata
Microcavia_australis	Microcavia australis	Microcavia_australis
Cavia_magna	Cavia magna	Cavia_magna
Cavia_fulgida	Cavia fulgida	Cavia_fulgida
Cavia_aperea	Cavia aperea	Cavia_aperea
Cavia_patzelti	Cavia patzelti	Cavia_patzelti
Cavia_porcellus	Cavia porcellus	Cavia_porcellus
Cavia_tschudii	Cavia tschudii	Cavia_tschudii
Galea_musteloides	Galea musteloides	Galea_musteloides
Galea_spixii	Galea spixii	Galea_spixii
Petromus_typicus	Petromus typicus	Petromus_typicus
Thryonomys_swinderianus	Thryonomys swinderianus	Thryonomys_swinderianus
Heterocephalus_glaber	Heterocephalus glaber	Heterocephalus_glaber
Heliophobius_argenteocinereus	Heliophobius argenteocinereus	Heliophobius_argenteocinereus
Bathyergus_suillus	Bathyergus suillus	Bathyergus_suillus
Bathyergus_janetta	Bathyergus janetta	Bathyergus_janetta
Georychus_capensis	Georychus capensis	Georychus_capensis
Cryptomys_hottentotus	Cryptomys hottentotus	Cryptomys_hottentotus
Fukomys_mechowi	Fukomys mechowi	Fukomys_mechowi
Fukomys_bocagei	Fukomys bocagei	Fukomys_bocagei
Fukomys_amatus	Fukomys amatus	Fukomys_amatus
Fukomys_micklemi	Fukomys micklemi	Fukomys_micklemi
Fukomys_damarensis	Fukomys damarensis	Fukomys_damarensis
Fukomys_darlingi	Fukomys darlingi	Fukomys_darlingi
Fukomys_whytei	Fukomys whytei	Fukomys_whytei
Trichys_fasciculata	Trichys fasciculata	Trichys_fasciculata
Atherurus_macrourus	Atherurus macrourus	Atherurus_macrourus
Hystrix_brachyura	Hystrix brachyura	Hystrix_brachyura
Hystrix_indica	Hystrix indica	Hystrix_indica
Hystrix_africaeaustralis	Hystrix africaeaustralis	Hystrix_africaeaustralis
Hystrix_cristata	Hystrix cristata	Hystrix_cristata
Atherurus_africanus	Atherurus africanus	Atherurus_africanus
Laonastes_aenigmamus	Laonastes aenigmamus	Laonastes_aenigmamus
Massoutiera_mzabi	Massoutiera mzabi	Massoutiera_mzabi
Ctenodactylus_vali	Ctenodactylus vali	Ctenodactylus_vali
Ctenodactylus_gundi	Ctenodactylus gundi	Ctenodactylus_gundi
Glirulus_japonicus	Glirulus japonicus	Glirulus_japonicus
Glis_glis	Glis glis	Glis_glis
Muscardinus_avellanarius	Muscardinus avellanarius	Muscardinus_avellanarius
Dryomys_nitedula	Dryomys nitedula	Dryomys_nitedula
Eliomys_quercinus	Eliomys quercinus	Eliomys_quercinus
Eliomys_melanurus	Eliomys melanurus	Eliomys_melanurus
Graphiurus_kelleni	Graphiurus kelleni	Graphiurus_kelleni
Graphiurus_murinus	Graphiurus murinus	Graphiurus_murinus
Aplodontia_rufa	Aplodontia rufa	Aplodontia_rufa
Eoglaucomys_fimbriatus	Eoglaucomys fimbriatus	Eoglaucomys_fimbriatus
Glaucomys_sabrinus	Glaucomys sabrinus	Glaucomys_sabrinus
Glaucomys_volans	Glaucomys volans	Glaucomys_volans
Hylopetes_alboniger	Hylopetes alboniger	Hylopetes_alboniger
Petinomys_setosus	Petinomys setosus	Petinomys_setosus
Petaurillus_kinlochii	Petaurillus kinlochii	Petaurillus_kinlochii
Hylopetes_phayrei	Hylopetes phayrei	Hylopetes_phayrei
Hylopetes_nigripes	Hylopetes nigripes	Hylopetes_nigripes
Hylopetes_spadiceus	Hylopetes spadiceus	Hylopetes_spadiceus
Hylopetes_lepidus	Hylopetes lepidus	Hylopetes_lepidus
Iomys_horsfieldii	Iomys horsfieldii	Iomys_horsfieldii
Petaurista_leucogenys	Petaurista leucogenys	Petaurista_leucogenys
Petaurista_lena	Petaurista lena	Petaurista_lena
Petaurista_grandis	Petaurista grandis	Petaurista_grandis
Petaurista_petaurista	Petaurista petaurista	Petaurista_petaurista
Petaurista_caniceps	Petaurista caniceps	Petaurista_caniceps
Petaurista_philippensis	Petaurista philippensis	Petaurista_philippensis
Petaurista_alborufus	Petaurista alborufus	Petaurista_alborufus
Petaurista_hainana	Petaurista hainana	Petaurista_hainana
Petaurista_yunanensis	Petaurista yunanensis	Petaurista_yunanensis
Petaurista_albiventer	Petaurista albiventer	Petaurista_albiventer
Petaurista_elegans	Petaurista elegans	Petaurista_elegans
Petaurista_marica	Petaurista marica	Petaurista_marica
Petaurista_xanthotis	Petaurista xanthotis	Petaurista_xanthotis
Pteromys_momonga	Pteromys momonga	Pteromys_momonga
Pteromys_volans	Pteromys volans	Pteromys_volans
Aeromys_tephromelas	Aeromys tephromelas	Aeromys_tephromelas
Eupetaurus_cinereus	Eupetaurus cinereus	Eupetaurus_cinereus
Pteromyscus_pulverulentus	Pteromyscus pulverulentus	Pteromyscus_pulverulentus
Aeretes_melanopterus	Aeretes melanopterus	Aeretes_melanopterus
Trogopterus_xanthipes	Trogopterus xanthipes	Trogopterus_xanthipes
Belomys_pearsonii	Belomys pearsonii	Belomys_pearsonii
Tamiasciurus_douglasii	Tamiasciurus douglasii	Tamiasciurus_douglasii
Tamiasciurus_hudsonicus	Tamiasciurus hudsonicus	Tamiasciurus_hudsonicus
Tamiasciurus_mearnsi	Tamiasciurus mearnsi	Tamiasciurus_mearnsi
Rheithrosciurus_macrotis	Rheithrosciurus macrotis	Rheithrosciurus_macrotis
Sciurus_anomalus	Sciurus anomalus	Sciurus_anomalus
Sciurus_griseus	Sciurus griseus	Sciurus_griseus
Sciurus_aberti	Sciurus aberti	Sciurus_aberti
Microsciurus_flaviventer	Microsciurus flaviventer	Microsciurus_flaviventer
Sciurus_igniventris	Sciurus igniventris	Sciurus_igniventris
Sciurus_spadiceus	Sciurus spadiceus	Sciurus_spadiceus
Sciurus_ignitus	Sciurus ignitus	Sciurus_ignitus
Sciurus_gilvigularis	Sciurus gilvigularis	Sciurus_gilvigularis
Sciurus_aestuans	Sciurus aestuans	Sciurus_aestuans
Sciurus_stramineus	Sciurus stramineus	Sciurus_stramineus
Sciurus_deppei	Sciurus deppei	Sciurus_deppei
Sciurus_granatensis	Sciurus granatensis	Sciurus_granatensis
Microsciurus_alfari	Microsciurus alfari	Microsciurus_alfari
Sciurus_oculatus	Sciurus oculatus	Sciurus_oculatus
Sciurus_aureogaster	Sciurus aureogaster	Sciurus_aureogaster
Sciurus_variegatoides	Sciurus variegatoides	Sciurus_variegatoides
Sciurus_carolinensis	Sciurus carolinensis	Sciurus_carolinensis
Sciurus_niger	Sciurus niger	Sciurus_niger
Sciurus_vulgaris	Sciurus vulgaris	Sciurus_vulgaris
Sciurus_lis	Sciurus lis	Sciurus_lis
Sciurotamias_davidianus	Sciurotamias davidianus	Sciurotamias_davidianus
Epixerus_ebii	Epixerus ebii	Epixerus_ebii
Protoxerus_stangeri	Protoxerus stangeri	Protoxerus_stangeri
Funisciurus_pyrropus	Funisciurus pyrropus	Funisciurus_pyrropus
Paraxerus_alexandri	Paraxerus alexandri	Paraxerus_alexandri
Funisciurus_carruthersi	Funisciurus carruthersi	Funisciurus_carruthersi
Paraxerus_ochraceus	Paraxerus ochraceus	Paraxerus_ochraceus
Paraxerus_cepapi	Paraxerus cepapi	Paraxerus_cepapi
Paraxerus_vexillarius	Paraxerus vexillarius	Paraxerus_vexillarius
Heliosciurus_undulatus	Heliosciurus undulatus	Heliosciurus_undulatus
Heliosciurus_ruwenzorii	Heliosciurus ruwenzorii	Heliosciurus_ruwenzorii
Myosciurus_pumilio	Myosciurus pumilio	Myosciurus_pumilio
Tamias_sibiricus	Tamias sibiricus	Tamias_sibiricus
Tamias_speciosus	Tamias speciosus	Tamias_speciosus
Tamias_minimus	Tamias minimus	Tamias_minimus
Tamias_panamintinus	Tamias panamintinus	Tamias_panamintinus
Tamias_alpinus	Tamias alpinus	Tamias_alpinus
Tamias_obscurus	Tamias obscurus	Tamias_obscurus
Tamias_merriami	Tamias merriami	Tamias_merriami
Tamias_amoenus	Tamias amoenus	Tamias_amoenus
Tamias_siskiyou	Tamias siskiyou	Tamias_siskiyou
Tamias_sonomae	Tamias sonomae	Tamias_sonomae
Tamias_senex	Tamias senex	Tamias_senex
Tamias_townsendii	Tamias townsendii	Tamias_townsendii
Tamias_ochrogenys	Tamias ochrogenys	Tamias_ochrogenys
Tamias_bulleri	Tamias bulleri	Tamias_bulleri
Tamias_dorsalis	Tamias dorsalis	Tamias_dorsalis
Tamias_cinereicollis	Tamias cinereicollis	Tamias_cinereicollis
Tamias_palmeri	Tamias palmeri	Tamias_palmeri
Tamias_quadrivittatus	Tamias quadrivittatus	Tamias_quadrivittatus
Tamias_umbrinus	Tamias umbrinus	Tamias_umbrinus
Tamias_rufus	Tamias rufus	Tamias_rufus
Tamias_canipes	Tamias canipes	Tamias_canipes
Tamias_durangae	Tamias durangae	Tamias_durangae
Tamias_ruficaudus	Tamias ruficaudus	Tamias_ruficaudus
Tamias_quadrimaculatus	Tamias quadrimaculatus	Tamias_quadrimaculatus
Tamias_striatus	Tamias striatus	Tamias_striatus
Callospermophilus_lateralis	Callospermophilus lateralis	Callospermophilus_lateralis
Callospermophilus_saturatus	Callospermophilus saturatus	Callospermophilus_saturatus
Callospermophilus_madrensis	Callospermophilus madrensis	Callospermophilus_madrensis
Otospermophilus_variegatus	Otospermophilus variegatus	Otospermophilus_variegatus
Otospermophilus_beecheyi	Otospermophilus beecheyi	Otospermophilus_beecheyi
Otospermophilus_atricapillus	Otospermophilus atricapillus	Otospermophilus_atricapillus
Marmota_caudata	Marmota caudata	Marmota_caudata
Marmota_menzbieri	Marmota menzbieri	Marmota_menzbieri
Marmota_himalayana	Marmota himalayana	Marmota_himalayana
Marmota_camtschatica	Marmota camtschatica	Marmota_camtschatica
Marmota_sibirica	Marmota sibirica	Marmota_sibirica
Marmota_baibacina	Marmota baibacina	Marmota_baibacina
Marmota_bobak	Marmota bobak	Marmota_bobak
Marmota_flaviventris	Marmota flaviventris	Marmota_flaviventris
Marmota_olympus	Marmota olympus	Marmota_olympus
Marmota_vancouverensis	Marmota vancouverensis	Marmota_vancouverensis
Marmota_caligata	Marmota caligata	Marmota_caligata
Marmota_broweri	Marmota broweri	Marmota_broweri
Marmota_marmota	Marmota marmota	Marmota_marmota
Marmota_monax	Marmota monax	Marmota_monax
Spermophilus_suslicus	Spermophilus suslicus	Spermophilus_suslicus
Spermophilus_dauricus	Spermophilus dauricus	Spermophilus_dauricus
Spermophilus_pallidicauda	Spermophilus pallidicauda	Spermophilus_pallidicauda
Spermophilus_alashanicus	Spermophilus alashanicus	Spermophilus_alashanicus
Spermophilus_fulvus	Spermophilus fulvus	Spermophilus_fulvus
Spermophilus_erythrogenys	Spermophilus erythrogenys	Spermophilus_erythrogenys
Spermophilus_major	Spermophilus major	Spermophilus_major
Spermophilus_relictus	Spermophilus relictus	Spermophilus_relictus
Spermophilus_xanthoprymnus	Spermophilus xanthoprymnus	Spermophilus_xanthoprymnus
Spermophilus_citellus	Spermophilus citellus	Spermophilus_citellus
Spermophilus_taurensis	Spermophilus taurensis	Spermophilus_taurensis
Spermophilus_pygmaeus	Spermophilus pygmaeus	Spermophilus_pygmaeus
Urocitellus_undulatus	Urocitellus undulatus	Urocitellus_undulatus
Urocitellus_beldingi	Urocitellus beldingi	Urocitellus_beldingi
Urocitellus_armatus	Urocitellus armatus	Urocitellus_armatus
Urocitellus_brunneus	Urocitellus brunneus	Urocitellus_brunneus
Urocitellus_mollis	Urocitellus mollis	Urocitellus_mollis
Urocitellus_canus	Urocitellus canus	Urocitellus_canus
Urocitellus_townsendii	Urocitellus townsendii	Urocitellus_townsendii
Urocitellus_washingtoni	Urocitellus washingtoni	Urocitellus_washingtoni
Urocitellus_columbianus	Urocitellus columbianus	Urocitellus_columbianus
Urocitellus_parryii	Urocitellus parryii	Urocitellus_parryii
Urocitellus_elegans	Urocitellus elegans	Urocitellus_elegans
Urocitellus_richardsonii	Urocitellus richardsonii	Urocitellus_richardsonii
Ictidomys_mexicanus	Ictidomys mexicanus	Ictidomys_mexicanus
Ictidomys_parvidens	Ictidomys parvidens	Ictidomys_parvidens
Ictidomys_tridecemlineatus	Ictidomys tridecemlineatus	Ictidomys_tridecemlineatus
Poliocitellus_franklinii	Poliocitellus franklinii	Poliocitellus_franklinii
Cynomys_mexicanus	Cynomys mexicanus	Cynomys_mexicanus
Cynomys_ludovicianus	Cynomys ludovicianus	Cynomys_ludovicianus
Cynomys_parvidens	Cynomys parvidens	Cynomys_parvidens
Cynomys_leucurus	Cynomys leucurus	Cynomys_leucurus
Cynomys_gunnisoni	Cynomys gunnisoni	Cynomys_gunnisoni
Xerospermophilus_mohavensis	Xerospermophilus mohavensis	Xerospermophilus_mohavensis
Xerospermophilus_tereticaudus	Xerospermophilus tereticaudus	Xerospermophilus_tereticaudus
Xerospermophilus_perotensis	Xerospermophilus perotensis	Xerospermophilus_perotensis
Xerospermophilus_spilosoma	Xerospermophilus spilosoma	Xerospermophilus_spilosoma
Ammospermophilus_harrisii	Ammospermophilus harrisii	Ammospermophilus_harrisii
Ammospermophilus_interpres	Ammospermophilus interpres	Ammospermophilus_interpres
Ammospermophilus_leucurus	Ammospermophilus leucurus	Ammospermophilus_leucurus
Notocitellus_adocetus	Notocitellus adocetus	Notocitellus_adocetus
Notocitellus_annulatus	Notocitellus annulatus	Notocitellus_annulatus
Spermophilopsis_leptodactylus	Spermophilopsis leptodactylus	Spermophilopsis_leptodactylus
Xerus_erythropus	Xerus erythropus	Xerus_erythropus
Atlantoxerus_getulus	Atlantoxerus getulus	Atlantoxerus_getulus
Xerus_rutilus	Xerus rutilus	Xerus_rutilus
Xerus_princeps	Xerus princeps	Xerus_princeps
Xerus_inauris	Xerus inauris	Xerus_inauris
Nannosciurus_melanotis	Nannosciurus melanotis	Nannosciurus_melanotis
Rubrisciurus_rubriventer	Rubrisciurus rubriventer	Rubrisciurus_rubriventer
Prosciurillus_murinus	Prosciurillus murinus	Prosciurillus_murinus
Hyosciurus_heinrichi	Hyosciurus heinrichi	Hyosciurus_heinrichi
Dremomys_pernyi	Dremomys pernyi	Dremomys_pernyi
Dremomys_pyrrhomerus	Dremomys pyrrhomerus	Dremomys_pyrrhomerus
Dremomys_rufigenis	Dremomys rufigenis	Dremomys_rufigenis
Dremomys_gularis	Dremomys gularis	Dremomys_gularis
Dremomys_lokriah	Dremomys lokriah	Dremomys_lokriah
Tamiops_rodolphii	Tamiops rodolphii	Tamiops_rodolphii
Tamiops_swinhoei	Tamiops swinhoei	Tamiops_swinhoei
Tamiops_maritimus	Tamiops maritimus	Tamiops_maritimus
Tamiops_macclellandii	Tamiops macclellandi	Tamiops_macclellandi
Tamiops_macclellandii	Tamiops mcclellandii	Tamiops_mcclellandii
Callosciurus_orestes	Callosciurus orestes	Callosciurus_orestes
Callosciurus_notatus	Callosciurus notatus	Callosciurus_notatus
Callosciurus_nigrovittatus	Callosciurus nigrovittatus	Callosciurus_nigrovittatus
Callosciurus_prevostii	Callosciurus prevostii	Callosciurus_prevostii
Callosciurus_caniceps	Callosciurus caniceps	Callosciurus_caniceps
Callosciurus_inornatus	Callosciurus inornatus	Callosciurus_inornatus
Callosciurus_erythraeus	Callosciurus erythraeus	Callosciurus_erythraeus
Callosciurus_finlaysonii	Callosciurus finlaysonii	Callosciurus_finlaysonii
Sundasciurus_lowii	Sundasciurus lowii	Sundasciurus_lowii
Sundasciurus_fraterculus	Sundasciurus fraterculus	Sundasciurus_fraterculus
Sundasciurus_hippurus	Sundasciurus hippurus	Sundasciurus_hippurus
Sundasciurus_samarensis	Sundasciurus samarensis	Sundasciurus_samarensis
Sundasciurus_mindanensis	Sundasciurus mindanensis	Sundasciurus_mindanensis
Sundasciurus_philippinensis	Sundasciurus philippinensis	Sundasciurus_philippinensis
Sundasciurus_rabori	Sundasciurus rabori	Sundasciurus_rabori
Sundasciurus_moellendorffi	Sundasciurus moellendorffi	Sundasciurus_moellendorffi
Sundasciurus_juvencus	Sundasciurus juvencus	Sundasciurus_juvencus
Sundasciurus_hoogstraali	Sundasciurus hoogstraali	Sundasciurus_hoogstraali
Sundasciurus_steerii	Sundasciurus steerii	Sundasciurus_steerii
