submitted_name	matched_name	label
Erethizon_dorsatum	Erethizon dorsatum	Erethizon_dorsatum
Coendou_insidiosus	Coendou insidiosus	Coendou_insidiosus
Coendou_spinosus	Coendou spinosus	Coendou_spinosus
Coendou_nycthemera	Coendou nycthemera	Coendou_nycthemera
Coendou_speratus	Coendou speratus	Coendou_speratus
Coendou_vestitus	Coendou vestitus	Coendou_vestitus
Coendou_pruinosus	Coendou pruinosus	Coendou_pruinosus
Coendou_ichillus	Coendou ichillus	Coendou_ichillus
Coendou_melanurus	Coendou melanurus	Coendou_melanurus
Coendou_bicolor	Coendou bicolor	Coendou_bicolor
Coendou_prehensilis	Coendou prehensilis	Coendou_prehensilis
Coendou_rufescens	Coendou rufescens	Coendou_rufescens
Coendou_quichua	Coendou quichua	Coendou_quichua
Coendou_mexicanus	Coendou mexicanus	Coendou_mexicanus
Chaetomys_subspinosus	Chaetomys subspinosus	Chaetomys_subspinosus
Dinomys_branickii	Dinomys branickii	Dinomys_branickii
Lagidium_ahuacaense	Lagidium ahuacaense	Lagidium_ahuacaense
Lagidium_peruanum	Lagidium peruanum	Lagidium_peruanum
Lagidium_wolffsohni	Lagidium wolffsohni	Lagidium_wolffsohni
Lagidium_viscacia	Lagidium viscacia	Lagidium_viscacia
Chinchilla_chinchilla	Chinchilla chinchilla	Chinchilla_chinchilla
Chinchilla_lanigera	Chinchilla lanigera	Chinchilla_lanigera
Lagostomus_maximus	Lagostomus maximus	Lagostomus_maximus
Octomys_mimax	Octomys mimax	Octomys_mimax
Pipanacoctomys_aureus	Pipanacoctomys aureus	Pipanacoctomys_aureus
Tympanoctomys_loschalchalerosorum	Tympanoctomys loschalchalerosorum	Tympanoctomys_loschalchalerosorum
Tympanoctomys_barrerae	Tympanoctomys barrerae	Tympanoctomys_barrerae
Octodontomys_gliroides	Octodontomys gliroides	Octodontomys_gliroides
Spalacopus_cyanus	Spalacopus cyanus	Spalacopus_cyanus
Aconaemys_porteri	Aconaemys porteri	Aconaemys_porteri
Aconaemys_fuscus	Aconaemys fuscus	Aconaemys_fuscus
Aconaemys_sagei	Aconaemys sagei	Aconaemys_sagei
Octodon_degus	Octodon degus	Octodon_degus
Octodon_bridgesi	Octodon bridgesi	Octodon_bridgesi
Octodon_lunatus	Octodon lunatus	Octodon_lunatus
Ctenomys_tuconax	Ctenomys tuconax	Ctenomys_tuconax
Ctenomys_andersoni	Ctenomys andersoni	Ctenomys_andersoni
Ctenomys_erikacuellarae	Ctenomys erikacuellarae	Ctenomys_erikacuellarae
Ctenomys_goodfellowi	Ctenomys goodfellowi	Ctenomys_goodfellowi
Ctenomys_boliviensis	Ctenomys boliviensis	Ctenomys_boliviensis
Ctenomys_steinbachi	Ctenomys steinbachi	Ctenomys_steinbachi
Ctenomys_dorbignyi	Ctenomys dorbignyi	Ctenomys_dorbignyi
Ctenomys_pearsoni	Ctenomys pearsoni	Ctenomys_pearsoni
Ctenomys_roigi	Ctenomys roigi	Ctenomys_roigi
Ctenomys_perrensi	Ctenomys perrensi	Ctenomys_perrensi
Ctenomys_torquatus	Ctenomys torquatus	Ctenomys_torquatus
Ctenomys_minutus	Ctenomys minutus	Ctenomys_minutus
Ctenomys_lami	Ctenomys lami	Ctenomys_lami
Ctenomys_ibicuiensis	Ctenomys ibicuiensis	Ctenomys_ibicuiensis
Ctenomys_australis	Ctenomys australis	Ctenomys_australis
Ctenomys_porteousi	Ctenomys porteousi	Ctenomys_porteousi
Ctenomys_mendocinus	Ctenomys mendocinus	Ctenomys_mendocinus
Ctenomys_flamarioni	Ctenomys flamarioni	Ctenomys_flamarioni
Ctenomys_bonettoi	Ctenomys bonettoi	Ctenomys_bonettoi
Ctenomys_yolandae	Ctenomys yolandae	Ctenomys_yolandae
Ctenomys_azarae	Ctenomys azarae	Ctenomys_azarae
Ctenomys_rionegrensis	Ctenomys rionegrensis	Ctenomys_rionegrensis
Ctenomys_leucodon	Ctenomys leucodon	Ctenomys_leucodon
Ctenomys_talarum	Ctenomys talarum	Ctenomys_talarum
Ctenomys_pundti	Ctenomys pundti	Ctenomys_pundti
Ctenomys_tucumanus	Ctenomys tucumanus	Ctenomys_tucumanus
Ctenomys_occultus	Ctenomys occultus	Ctenomys_occultus
Ctenomys_argentinus	Ctenomys argentinus	Ctenomys_argentinus
Ctenomys_latro	Ctenomys latro	Ctenomys_latro
Ctenomys_pilarensis	Ctenomys pilarensis	Ctenomys_pilarensis
Ctenomys_sociabilis	Ctenomys sociabilis	Ctenomys_sociabilis
Ctenomys_haigi	Ctenomys haigi	Ctenomys_haigi
Ctenomys_coyhaiquensis	Ctenomys coyhaiquensis	Ctenomys_coyhaiquensis
Ctenomys_maulinus	Ctenomys maulinus	Ctenomys_maulinus
Ctenomys_fodax	Ctenomys fodax	Ctenomys_fodax
Ctenomys_sericeus	Ctenomys sericeus	Ctenomys_sericeus
Ctenomys_magellanicus	Ctenomys magellanicus	Ctenomys_magellanicus
Ctenomys_colburni	Ctenomys colburni	Ctenomys_colburni
Ctenomys_scagliai	Ctenomys scagliai	Ctenomys_scagliai
Ctenomys_saltarius	Ctenomys saltarius	Ctenomys_saltarius
Ctenomys_opimus	Ctenomys opimus	Ctenomys_opimus
Ctenomys_fulvus	Ctenomys fulvus	Ctenomys_fulvus
Ctenomys_lewisi	Ctenomys lewisi	Ctenomys_lewisi
Ctenomys_frater	Ctenomys frater	Ctenomys_frater
Ctenomys_conoveri	Ctenomys conoveri	Ctenomys_conoveri
Ctenomys_lessai	Ctenomys lessai	Ctenomys_lessai
Callistomys_pictus	Callistomys pictus	Callistomys_pictus
Proechimys_quadruplicatus	Proechimys quadruplicatus	Proechimys_quadruplicatus
Proechimys_steerei	Proechimys steerei	Proechimys_steerei
Proechimys_simonsi	Proechimys simonsi	Proechimys_simonsi
Proechimys_longicaudatus	Proechimys longicaudatus	Proechimys_longicaudatus
Proechimys_cuvieri	Proechimys cuvieri	Proechimys_cuvieri
Proechimys_brevicauda	Proechimys brevicauda	Proechimys_brevicauda
Proechimys_roberti	Proechimys roberti	Proechimys_roberti
Proechimys_guyannensis	Proechimys guyannensis	Proechimys_guyannensis
Proechimys_hoplomyoides	Proechimys hoplomyoides	Proechimys_hoplomyoides
Hoplomys_gymnurus	Hoplomys gymnurus	Hoplomys_gymnurus
Thrichomys_apereoides	Thrichomys apereoides	Thrichomys_apereoides
Myocastor_coypus	Myocastor coypus	Myocastor_coypus
Isothrix_barbarabrownae	Isothrix barbarabrownae	Isothrix_barbarabrownae
Isothrix_sinnamariensis	Isothrix sinnamariensis	Isothrix_sinnamariensis
Isothrix_pagurus	Isothrix pagurus	Isothrix_pagurus
Isothrix_orinoci	Isothrix orinoci	Isothrix_orinoci
Isothrix_bistriata	Isothrix bistriata	Isothrix_bistriata
Isothrix_negrensis	Isothrix negrensis	Isothrix_negrensis
Toromys_rhipidurus	Toromys rhipidurus	Toromys_rhipidurus
Toromys_grandis	Toromys grandis	Toromys_grandis
Pattonomys_semivillosus	Pattonomys semivillosus	Pattonomys_semivillosus
Pattonomys_occasius	Pattonomys occasius	Pattonomys_occasius
Makalata_didelphoides	Makalata didelphoides	Makalata_didelphoides
Makalata_macrura	Makalata macrura	Makalata_macrura
Phyllomys_mantiqueirensis	Phyllomys mantiqueirensis	Phyllomys_mantiqueirensis
Phyllomys_pattoni	Phyllomys pattoni	Phyllomys_pattoni
Phyllomys_lundi	Phyllomys lundi	Phyllomys_lundi
Phyllomys_nigrispinus	Phyllomys nigrispinus	Phyllomys_nigrispinus
Phyllomys_sulinus	Phyllomys sulinus	Phyllomys_sulinus
Phyllomys_dasythrix	Phyllomys dasythrix	Phyllomys_dasythrix
Phyllomys_lamarum	Phyllomys lamarum	Phyllomys_lamarum
Phyllomys_blainvillii	Phyllomys blainvillii	Phyllomys_blainvillii
Phyllomys_brasiliensis	Phyllomys brasiliensis	Phyllomys_brasiliensis
Echimys_chrysurus	Echimys chrysurus	Echimys_chrysurus
Santamartamys_rufodorsalis	Santamartamys rufodorsalis	Santamartamys_rufodorsalis
Diplomys_labilis	Diplomys labilis	Diplomys_labilis
Dactylomys_peruanus	Dactylomys peruanus	Dactylomys_peruanus
Dactylomys_boliviensis	Dactylomys boliviensis	Dactylomys_boliviensis
Dactylomys_dactylinus	Dactylomys dactylinus	Dactylomys_dactylinus
Olallamys_albicauda	Olallamys albicauda	Olallamys_albicauda
Kannabateomys_amblyonyx	Kannabateomys amblyonyx	Kannabateomys_amblyonyx
