label	size	lifespan	submitted_name_pantheria.pantheria	submitted_name_anage.pantheria	matched_name	size.pantheria	lifespan.pantheria	submitted_name_pantheria.anage	submitted_name_anage.anage	size.anage	lifespan.anage
Caluromys_lanatus	350.33	5	Caluromys_lanatus	NA	Caluromys lanatus	350.33	5	Caluromys_lanatus	NA	NA	NA
Caluromys_philander	350	8.9	Caluromys_philander	Caluromys_philander	Caluromys philander	246.47	6.333333333333333	Caluromys_philander	Caluromys_philander	350	8.9
Caluromysiops_irrupta	257.48	7.833333333333333	Caluromysiops_irrupta	Caluromysiops_irrupta	Caluromysiops irrupta	257.48	7.833333333333333	Caluromysiops_irrupta	Caluromysiops_irrupta	250	NA
Calyptophractus_retusus	129.99	12	Calyptophractus_retusus	NA	Calyptophractus retusus	129.99	12	Calyptophractus_retusus	NA	NA	NA
Camelus_bactrianus	554515.91	40	Camelus_bactrianus	Camelus_bactrianus	Camelus bactrianus	554515.91	40	Camelus_bactrianus	Camelus_bactrianus	475000	35.4
Bos_sauveli	800000	NA	Bos_sauveli	Bos_sauveli	Bos sauveli	791321.76	-83.25	Bos_sauveli	Bos_sauveli	800000	NA
Bos_taurus	750000	20	Bos_taurus	Bos_taurus	Bos taurus	618642.42	20	Bos_taurus	Bos_taurus	750000	20
Boselaphus_tragocamelus	182253.04	21.7	Boselaphus_tragocamelus	Boselaphus_tragocamelus	Boselaphus tragocamelus	182253.04	21.7	Boselaphus_tragocamelus	Boselaphus_tragocamelus	180000	21.7
Brachiones_przewalskii	NA	NA	Brachiones_przewalskii	NA	Brachiones przewalskii	-999	-83.25	Brachiones_przewalskii	NA	NA	NA
Canis_mesomelas	10250	16.7	Canis_mesomelas	Canis_mesomelas	Canis mesomelas	8247.3	14	Canis_mesomelas	Canis_mesomelas	10250	16.7
Canis_simensis	14361.86	NA	Canis_simensis	NA	Canis simensis	14361.86	-83.25	Canis_simensis	NA	NA	NA
Cannomys_badius	650	4.8	Cannomys_badius	Cannomys_badius	Cannomys badius	472.07	4	Cannomys_badius	Cannomys_badius	650	4.8
Cansumys_canus	NA	NA	Cansumys_canus	NA	Cansumys canus	-999	-83.25	Cansumys_canus	NA	NA	NA
Caperea_marginata	31999999.98	NA	Caperea_marginata	NA	Caperea marginata	31999999.98	-83.25	Caperea_marginata	NA	NA	NA
Capra_caucasica	70000	22	Capra_caucasica	Capra_caucasica	Capra caucasica	58149.52	22	Capra_caucasica	Capra_caucasica	70000	19.3
Capra_falconeri	54303.37	19.1	Capra_falconeri	Capra_falconeri	Capra falconeri	54303.37	14	Capra_falconeri	Capra_falconeri	41000	19.1
Capra_hircus	61000	20.8	Capra_hircus	Capra_hircus	Capra hircus	47386.47	20.8	Capra_hircus	Capra_hircus	61000	20.8
Capra_ibex	82500	22.3	Capra_ibex	Capra_ibex	Capra ibex	69546.83	22.3	Capra_ibex	Capra_ibex	82500	20.9
Atelerix_algirus	903.98	7	Atelerix_algirus	Atelerix_algirus	Atelerix algirus	903.98	7	Atelerix_algirus	Atelerix_algirus	745	NA
Atelerix_frontalis	329.12	NA	Atelerix_frontalis	Atelerix_frontalis	Atelerix frontalis	329.12	-83.25	Atelerix_frontalis	Atelerix_frontalis	309	NA
Atelerix_sclateri	NA	NA	Atelerix_sclateri	NA	Atelerix sclateri	-999	-83.25	Atelerix_sclateri	NA	NA	NA
Ateles_belzebuth	7535	37	Ateles_belzebuth	Ateles_belzebuth	Ateles belzebuth	6692.42	28	Ateles_belzebuth	Ateles_belzebuth	7535	37
Ateles_chamek	7053.92	42.8	Ateles_chamek	Ateles_chamek	Ateles chamek	7053.92	-83.25	Ateles_chamek	Ateles_chamek	6000	42.8
Ateles_fusciceps	9067.94	46	Ateles_fusciceps	Ateles_fusciceps	Ateles fusciceps	9067.94	24	Ateles_fusciceps	Ateles_fusciceps	7000	46
Ateles_geoffroyi	7582.4	47.1	Ateles_geoffroyi	Ateles_geoffroyi	Ateles geoffroyi	7582.4	27.3	Ateles_geoffroyi	Ateles_geoffroyi	7267.5	47.1
Ateles_hybridus	NA	NA	Ateles_hybridus	NA	Ateles hybridus	-999	-83.25	Ateles_hybridus	NA	NA	NA
Ateles_marginatus	6229.28	44	Ateles_marginatus	Ateles_marginatus	Ateles marginatus	6229.28	-83.25	Ateles_marginatus	Ateles_marginatus	6000	44
Ateles_paniscus	8697.25	46	Ateles_paniscus	Ateles_paniscus	Ateles paniscus	8697.25	37.800000000000004	Ateles_paniscus	Ateles_paniscus	7887.5	46
Callicebus_moloch	958.13	25.3	Callicebus_moloch	NA	Callicebus moloch	958.13	25.3	Callicebus_moloch	NA	NA	NA
Callicebus_nigrifrons	NA	NA	Callicebus_nigrifrons	NA	Callicebus nigrifrons	-999	-83.25	Callicebus_nigrifrons	NA	NA	NA
Callicebus_oenanthe	992.4	NA	Callicebus_oenanthe	NA	Callicebus oenanthe	992.4	-83.25	Callicebus_oenanthe	NA	NA	NA
Callicebus_olallae	992.4	NA	Callicebus_olallae	NA	Callicebus olallae	992.4	-83.25	Callicebus_olallae	NA	NA	NA
Callicebus_ornatus	NA	NA	Callicebus_ornatus	NA	Callicebus ornatus	-999	-83.25	Callicebus_ornatus	NA	NA	NA
Callicebus_pallescens	NA	NA	Callicebus_pallescens	NA	Callicebus pallescens	-999	-83.25	Callicebus_pallescens	NA	NA	NA
Callicebus_personatus	1390.8	NA	Callicebus_personatus	NA	Callicebus personatus	1390.8	-83.25	Callicebus_personatus	NA	NA	NA
Callicebus_purinus	NA	NA	Callicebus_purinus	NA	Callicebus purinus	-999	-83.25	Callicebus_purinus	NA	NA	NA
Callicebus_regulus	NA	NA	Callicebus_regulus	NA	Callicebus regulus	-999	-83.25	Callicebus_regulus	NA	NA	NA
Callicebus_stephennashi	NA	NA	Callicebus_stephennashi	NA	Callicebus stephennashi	-999	-83.25	Callicebus_stephennashi	NA	NA	NA
Callicebus_torquatus	1209.57	NA	Callicebus_torquatus	NA	Callicebus torquatus	1209.57	-83.25	Callicebus_torquatus	NA	NA	NA
Callimico_goeldii	558	22.2	Callimico_goeldii	Callimico_goeldii	Callimico goeldii	558	17.900000000000002	Callimico_goeldii	Callimico_goeldii	555	22.2
Callistomys_pictus	518.99	NA	Callistomys_pictus	NA	Callistomys pictus	518.99	-83.25	Callistomys_pictus	NA	NA	NA
Callithrix_acariensis	NA	NA	Callithrix_acariensis	NA	Callithrix acariensis	-999	-83.25	Callithrix_acariensis	NA	NA	NA
Callithrix_argentata	382.92	16.8	Callithrix_argentata	NA	Callithrix argentata	382.92	16.8	Callithrix_argentata	NA	NA	NA
Callithrix_aurita	386.2	NA	Callithrix_aurita	NA	Callithrix aurita	386.2	-83.25	Callithrix_aurita	NA	NA	NA
Callithrix_chrysoleuca	NA	NA	Callithrix_chrysoleuca	NA	Callithrix chrysoleuca	-999	-83.25	Callithrix_chrysoleuca	NA	NA	NA
Callithrix_emiliae	309.58	NA	Callithrix_emiliae	NA	Callithrix emiliae	309.58	-83.25	Callithrix_emiliae	NA	NA	NA
Callithrix_flaviceps	372.97	NA	Callithrix_flaviceps	NA	Callithrix flaviceps	372.97	-83.25	Callithrix_flaviceps	NA	NA	NA
Callithrix_geoffroyi	342	17.6	Callithrix_geoffroyi	Callithrix_geoffroyi	Callithrix geoffroyi	342	-83.25	Callithrix_geoffroyi	Callithrix_geoffroyi	342	17.6
Callithrix_humeralifera	374.99	15	Callithrix_humeralifera	NA	Callithrix humeralifera	374.99	15	Callithrix_humeralifera	NA	NA	NA
Callithrix_humilis	NA	NA	Callithrix_humilis	NA	Callithrix humilis	-999	-83.25	Callithrix_humilis	NA	NA	NA
Callithrix_intermedia	NA	NA	Callithrix_intermedia	NA	Callithrix intermedia	-999	-83.25	Callithrix_intermedia	NA	NA	NA
Callithrix_jacchus	290.21	22.8	Callithrix_jacchus	Callithrix_jacchus	Callithrix jacchus	290.21	16.8	Callithrix_jacchus	Callithrix_jacchus	255.2	22.8
Callithrix_kuhlii	374.99	20	Callithrix_kuhlii	Callithrix_kuhlii	Callithrix kuhlii	374.99	-83.25	Callithrix_kuhlii	Callithrix_kuhlii	342	20
Callithrix_leucippe	NA	NA	Callithrix_leucippe	NA	Callithrix leucippe	-999	-83.25	Callithrix_leucippe	NA	NA	NA
Callithrix_manicorensis	NA	NA	Callithrix_manicorensis	NA	Callithrix manicorensis	-999	-83.25	Callithrix_manicorensis	NA	NA	NA
Callithrix_marcai	NA	NA	Callithrix_marcai	NA	Callithrix marcai	-999	-83.25	Callithrix_marcai	NA	NA	NA
Callithrix_mauesi	443.79	NA	Callithrix_mauesi	NA	Callithrix mauesi	443.79	-83.25	Callithrix_mauesi	NA	NA	NA
Callithrix_melanura	NA	NA	Callithrix_melanura	NA	Callithrix melanura	-999	-83.25	Callithrix_melanura	NA	NA	NA
Callithrix_nigriceps	401.12	NA	Callithrix_nigriceps	NA	Callithrix nigriceps	401.12	-83.25	Callithrix_nigriceps	NA	NA	NA
Callithrix_penicillata	339.98	15.4	Callithrix_penicillata	Callithrix_penicillata	Callithrix penicillata	339.98	-83.25	Callithrix_penicillata	Callithrix_penicillata	307	15.4
Callithrix_pygmaea	123.94	15.1	Callithrix_pygmaea	NA	Callithrix pygmaea	123.94	15.1	Callithrix_pygmaea	NA	NA	NA
Callithrix_saterei	NA	NA	Callithrix_saterei	NA	Callithrix saterei	-999	-83.25	Callithrix_saterei	NA	NA	NA
Callorhinus_ursinus	165500	35	Callorhinus_ursinus	Callorhinus_ursinus	Callorhinus ursinus	55464.82	35	Callorhinus_ursinus	Callorhinus_ursinus	165500	NA
Callosciurus_adamsi	208.72	NA	Callosciurus_adamsi	Callosciurus_adamsi	Callosciurus adamsi	208.72	-83.25	Callosciurus_adamsi	Callosciurus_adamsi	134.5	NA
Callosciurus_albescens	NA	NA	Callosciurus_albescens	NA	Callosciurus albescens	-999	-83.25	Callosciurus_albescens	NA	NA	NA
Callosciurus_baluensis	323.91	NA	Callosciurus_baluensis	NA	Callosciurus baluensis	323.91	-83.25	Callosciurus_baluensis	NA	NA	NA
Callosciurus_caniceps	264.91	13.7	Callosciurus_caniceps	Callosciurus_caniceps	Callosciurus caniceps	264.91	9.5	Callosciurus_caniceps	Callosciurus_caniceps	257	13.7
Callosciurus_erythraeus	283.23	17	Callosciurus_erythraeus	Callosciurus_erythraeus	Callosciurus erythraeus	283.23	16.099999999999998	Callosciurus_erythraeus	Callosciurus_erythraeus	272	17
Callosciurus_finlaysonii	NA	12.8	Callosciurus_finlaysonii	Callosciurus_finlaysonii	Callosciurus finlaysonii	-999	-83.25	Callosciurus_finlaysonii	Callosciurus_finlaysonii	NA	12.8
Callosciurus_inornatus	NA	NA	Callosciurus_inornatus	NA	Callosciurus inornatus	-999	-83.25	Callosciurus_inornatus	NA	NA	NA
Callosciurus_melanogaster	296	NA	Callosciurus_melanogaster	NA	Callosciurus melanogaster	296	-83.25	Callosciurus_melanogaster	NA	NA	NA
Callosciurus_nigrovittatus	208.3	NA	Callosciurus_nigrovittatus	NA	Callosciurus nigrovittatus	208.3	-83.25	Callosciurus_nigrovittatus	NA	NA	NA
Callosciurus_notatus	209.49	14.8	Callosciurus_notatus	Callosciurus_notatus	Callosciurus notatus	209.49	9.6	Callosciurus_notatus	Callosciurus_notatus	190	14.8
Callosciurus_orestes	323.91	NA	Callosciurus_orestes	NA	Callosciurus orestes	323.91	-83.25	Callosciurus_orestes	NA	NA	NA
Callosciurus_phayrei	NA	NA	Callosciurus_phayrei	NA	Callosciurus phayrei	-999	-83.25	Callosciurus_phayrei	NA	NA	NA
Callosciurus_prevostii	400	21.1	Callosciurus_prevostii	Callosciurus_prevostii	Callosciurus prevostii	400	5.666666666666667	Callosciurus_prevostii	Callosciurus_prevostii	400	21.1
Callosciurus_pygerythrus	NA	NA	Callosciurus_pygerythrus	NA	Callosciurus pygerythrus	-999	-83.25	Callosciurus_pygerythrus	NA	NA	NA
Callosciurus_quinquestriatus	NA	NA	Callosciurus_quinquestriatus	NA	Callosciurus quinquestriatus	-999	-83.25	Callosciurus_quinquestriatus	NA	NA	NA
Calomys_boliviae	27	NA	Calomys_boliviae	NA	Calomys boliviae	27	-83.25	Calomys_boliviae	NA	NA	NA
Calomys_callidus	27	NA	Calomys_callidus	NA	Calomys callidus	27	-83.25	Calomys_callidus	NA	NA	NA
Calomys_callosus	44.95	NA	Calomys_callosus	NA	Calomys callosus	44.95	-83.25	Calomys_callosus	NA	NA	NA
Calomys_expulsus	39.86	NA	Calomys_expulsus	NA	Calomys expulsus	39.86	-83.25	Calomys_expulsus	NA	NA	NA
Calomys_hummelincki	27	NA	Calomys_hummelincki	NA	Calomys hummelincki	27	-83.25	Calomys_hummelincki	NA	NA	NA
Calomys_laucha	14	NA	Calomys_laucha	NA	Calomys laucha	14	-83.25	Calomys_laucha	NA	NA	NA
Calomys_lepidus	20.59	NA	Calomys_lepidus	NA	Calomys lepidus	20.59	-83.25	Calomys_lepidus	NA	NA	NA
Calomys_musculinus	20.2	NA	Calomys_musculinus	NA	Calomys musculinus	20.2	-83.25	Calomys_musculinus	NA	NA	NA
Calomys_sorellus	20	NA	Calomys_sorellus	NA	Calomys sorellus	20	-83.25	Calomys_sorellus	NA	NA	NA
Calomys_tener	13.8	NA	Calomys_tener	NA	Calomys tener	13.8	-83.25	Calomys_tener	NA	NA	NA
Calomys_tocantinsi	NA	NA	Calomys_tocantinsi	NA	Calomys tocantinsi	-999	-83.25	Calomys_tocantinsi	NA	NA	NA
Calomys_venustus	49.33	NA	Calomys_venustus	NA	Calomys venustus	49.33	-83.25	Calomys_venustus	NA	NA	NA
Calomyscus_bailwardi	21.38	9.4	Calomyscus_bailwardi	Calomyscus_bailwardi	Calomyscus bailwardi	21.38	-83.25	Calomyscus_bailwardi	Calomyscus_bailwardi	20.4	9.4
Calomyscus_baluchi	NA	NA	Calomyscus_baluchi	NA	Calomyscus baluchi	-999	-83.25	Calomyscus_baluchi	NA	NA	NA
Calomyscus_elburzensis	NA	NA	Calomyscus_elburzensis	NA	Calomyscus elburzensis	-999	-83.25	Calomyscus_elburzensis	NA	NA	NA
Calomyscus_grandis	NA	NA	Calomyscus_grandis	NA	Calomyscus grandis	-999	-83.25	Calomyscus_grandis	NA	NA	NA
Calomyscus_hotsoni	NA	NA	Calomyscus_hotsoni	NA	Calomyscus hotsoni	-999	-83.25	Calomyscus_hotsoni	NA	NA	NA
Calomyscus_mystax	20.4	NA	Calomyscus_mystax	Calomyscus_mystax	Calomyscus mystax	-999	-83.25	Calomyscus_mystax	Calomyscus_mystax	20.4	NA
Calomyscus_tsolovi	NA	NA	Calomyscus_tsolovi	NA	Calomyscus tsolovi	-999	-83.25	Calomyscus_tsolovi	NA	NA	NA
Calomyscus_urartensis	NA	NA	Calomyscus_urartensis	NA	Calomyscus urartensis	-999	-83.25	Calomyscus_urartensis	NA	NA	NA
Caloprymnus_campestris	927.57	13	Caloprymnus_campestris	NA	Caloprymnus campestris	927.57	13	Caloprymnus_campestris	NA	NA	NA
Atelocynus_microtis	9500	11.9	Atelocynus_microtis	Atelocynus_microtis	Atelocynus microtis	8363.22	11	Atelocynus_microtis	Atelocynus_microtis	9500	11.9
Atherurus_africanus	2875.65	22.900000000000002	Atherurus_africanus	Atherurus_africanus	Atherurus africanus	2875.65	22.900000000000002	Atherurus_africanus	Atherurus_africanus	2750	22.9
Atherurus_macrourus	2000	NA	Atherurus_macrourus	Atherurus_macrourus	Atherurus macrourus	2000	-83.25	Atherurus_macrourus	Atherurus_macrourus	2000	NA
Atilax_paludinosus	3600.16	20.8	Atilax_paludinosus	Atilax_paludinosus	Atilax paludinosus	3600.16	17.416666666666668	Atilax_paludinosus	Atilax_paludinosus	3300	20.8
Atlantoxerus_getulus	400	9	Atlantoxerus_getulus	Atlantoxerus_getulus	Atlantoxerus getulus	250.57	9	Atlantoxerus_getulus	Atlantoxerus_getulus	400	NA
Auliscomys_boliviensis	70.91	NA	Auliscomys_boliviensis	NA	Auliscomys boliviensis	70.91	-83.25	Auliscomys_boliviensis	NA	NA	NA
Auliscomys_pictus	48.97	NA	Auliscomys_pictus	NA	Auliscomys pictus	48.97	-83.25	Auliscomys_pictus	NA	NA	NA
Auliscomys_sublimis	38	NA	Auliscomys_sublimis	NA	Auliscomys sublimis	38	-83.25	Auliscomys_sublimis	NA	NA	NA
Avahi_laniger	1092.28	NA	Avahi_laniger	NA	Avahi laniger	1092.28	-83.25	Avahi_laniger	NA	NA	NA
Avahi_occidentalis	828.98	NA	Avahi_occidentalis	NA	Avahi occidentalis	828.98	-83.25	Avahi_occidentalis	NA	NA	NA
Avahi_unicolor	NA	NA	Avahi_unicolor	NA	Avahi unicolor	-999	-83.25	Avahi_unicolor	NA	NA	NA
Axis_axis	69499.99	20.8	Axis_axis	Axis_axis	Axis axis	69499.99	20.8	Axis_axis	Axis_axis	36000	20.8
Axis_calamianensis	40500	17.2	Axis_calamianensis	Axis_calamianensis	Axis calamianensis	39812.6	-83.25	Axis_calamianensis	Axis_calamianensis	40500	17.2
Axis_kuhlii	55000	17.8	Axis_kuhlii	Axis_kuhlii	Axis kuhlii	54999.99	-83.25	Axis_kuhlii	Axis_kuhlii	55000	17.8
Axis_porcinus	43000	22.9	Axis_porcinus	Axis_porcinus	Axis porcinus	37448.29	20	Axis_porcinus	Axis_porcinus	43000	22.9
Babyrousa_babyrussa	92950.09	24	Babyrousa_babyrussa	Babyrousa_babyrussa	Babyrousa babyrussa	92950.09	24	Babyrousa_babyrussa	Babyrousa_babyrussa	71500	22.9
Babyrousa_bolabatuensis	NA	NA	Babyrousa_bolabatuensis	NA	Babyrousa bolabatuensis	-999	-83.25	Babyrousa_bolabatuensis	NA	NA	NA
Babyrousa_celebensis	NA	NA	Babyrousa_celebensis	NA	Babyrousa celebensis	-999	-83.25	Babyrousa_celebensis	NA	NA	NA
Balaenoptera_musculus	154321304.5	110	Balaenoptera_musculus	Balaenoptera_musculus	Balaenoptera musculus	154321304.5	110	Balaenoptera_musculus	Balaenoptera_musculus	136000000	110
Balaenoptera_physalus	70000000	116	Balaenoptera_physalus	Balaenoptera_physalus	Balaenoptera physalus	47506008.23	116	Balaenoptera_physalus	Balaenoptera_physalus	70000000	114
Balantiopteryx_infusca	NA	NA	Balantiopteryx_infusca	NA	Balantiopteryx infusca	-999	-83.25	Balantiopteryx_infusca	NA	NA	NA
Balantiopteryx_io	3.97	NA	Balantiopteryx_io	NA	Balantiopteryx io	3.97	-83.25	Balantiopteryx_io	NA	NA	NA
Balantiopteryx_plicata	6.57	NA	Balantiopteryx_plicata	NA	Balantiopteryx plicata	6.57	-83.25	Balantiopteryx_plicata	NA	NA	NA
Balionycteris_maculata	14.43	NA	Balionycteris_maculata	NA	Balionycteris maculata	14.43	-83.25	Balionycteris_maculata	NA	NA	NA
Bandicota_bengalensis	226.99	NA	Bandicota_bengalensis	NA	Bandicota bengalensis	226.99	-83.25	Bandicota_bengalensis	NA	NA	NA
Bandicota_indica	583.09	NA	Bandicota_indica	NA	Bandicota indica	583.09	-83.25	Bandicota_indica	NA	NA	NA
Cephalophus_niger	19094.32	14.8	Cephalophus_niger	Cephalophus_niger	Cephalophus niger	19094.32	10.17	Cephalophus_niger	Cephalophus_niger	18100	14.8
Cephalophus_nigrifrons	14676.33	19.7	Cephalophus_nigrifrons	Cephalophus_nigrifrons	Cephalophus nigrifrons	14676.33	19.7	Cephalophus_nigrifrons	Cephalophus_nigrifrons	13900	17.9
Cephalophus_ogilbyi	18386.42	NA	Cephalophus_ogilbyi	NA	Cephalophus ogilbyi	18386.42	-83.25	Cephalophus_ogilbyi	NA	NA	NA
Cephalophus_rufilatus	13000	15.2	Cephalophus_rufilatus	Cephalophus_rufilatus	Cephalophus rufilatus	12114.57	9.5	Cephalophus_rufilatus	Cephalophus_rufilatus	13000	15.2
Cephalophus_silvicultor	62006.6	22.5	Cephalophus_silvicultor	Cephalophus_silvicultor	Cephalophus silvicultor	62006.6	17.330000000000002	Cephalophus_silvicultor	Cephalophus_silvicultor	62000	22.5
Cephalophus_spadix	56857.02	5.420000000000001	Cephalophus_spadix	NA	Cephalophus spadix	56857.02	5.420000000000001	Cephalophus_spadix	NA	NA	NA
Cephalophus_weynsi	NA	15.25	Cephalophus_weynsi	Cephalophus_weynsi	Cephalophus weynsi	-999	15.25	Cephalophus_weynsi	Cephalophus_weynsi	NA	15.2
Cephalophus_zebra	17500.1	12.17	Cephalophus_zebra	Cephalophus_zebra	Cephalophus zebra	15654.75	12.17	Cephalophus_zebra	Cephalophus_zebra	17500.1	NA
Cephalorhynchus_commersonii	72400	18	Cephalorhynchus_commersonii	Cephalorhynchus_commersonii	Cephalorhynchus commersonii	72400	18	Cephalorhynchus_commersonii	Cephalorhynchus_commersonii	50000	NA
Cephalorhynchus_eutropia	45000	NA	Cephalorhynchus_eutropia	NA	Cephalorhynchus eutropia	45000	-83.25	Cephalorhynchus_eutropia	NA	NA	NA
Cephalorhynchus_heavisidii	39999.99	NA	Cephalorhynchus_heavisidii	NA	Cephalorhynchus heavisidii	39999.99	-83.25	Cephalorhynchus_heavisidii	NA	NA	NA
Cephalorhynchus_hectori	56000	20	Cephalorhynchus_hectori	Cephalorhynchus_hectori	Cephalorhynchus hectori	49999.99	20	Cephalorhynchus_hectori	Cephalorhynchus_hectori	56000	NA
Ceratotherium_simum	2285939.43	50	Ceratotherium_simum	Ceratotherium_simum	Ceratotherium simum	2285939.43	50	Ceratotherium_simum	Ceratotherium_simum	2175000	45
Cercartetus_caudatus	30	3.1999999999999997	Cercartetus_caudatus	Cercartetus_caudatus	Cercartetus caudatus	23.05	3.1999999999999997	Cercartetus_caudatus	Cercartetus_caudatus	30	NA
Cercartetus_concinnus	15.96	NA	Cercartetus_concinnus	NA	Cercartetus concinnus	15.96	-83.25	Cercartetus_concinnus	NA	NA	NA
Cercartetus_lepidus	8.03	NA	Cercartetus_lepidus	NA	Cercartetus lepidus	8.03	-83.25	Cercartetus_lepidus	NA	NA	NA
Cercartetus_nanus	40	10.3	Cercartetus_nanus	Cercartetus_nanus	Cercartetus nanus	26.85	8	Cercartetus_nanus	Cercartetus_nanus	40	10.3
Cercocebus_agilis	8000	31	Cercocebus_agilis	Cercocebus_agilis	Cercocebus agilis	7105.62	-83.25	Cercocebus_agilis	Cercocebus_agilis	8000	31
Cercocebus_atys	6941.24	26.8	Cercocebus_atys	NA	Cercocebus atys	6941.24	26.8	Cercocebus_atys	NA	NA	NA
Cercocebus_chrysogaster	NA	NA	Cercocebus_chrysogaster	NA	Cercocebus chrysogaster	-999	-83.25	Cercocebus_chrysogaster	NA	NA	NA
Cercocebus_galeritus	9467.5	21	Cercocebus_galeritus	Cercocebus_galeritus	Cercocebus galeritus	7077.66	21	Cercocebus_galeritus	Cercocebus_galeritus	9467.5	NA
Cercocebus_sanjei	NA	NA	Cercocebus_sanjei	NA	Cercocebus sanjei	-999	-83.25	Cercocebus_sanjei	NA	NA	NA
Cercocebus_torquatus	9492.5	46	Cercocebus_torquatus	Cercocebus_torquatus	Cercocebus torquatus	7293.07	30	Cercocebus_torquatus	Cercocebus_torquatus	9492.5	46
Cercopithecus_albogularis	NA	NA	Cercopithecus_albogularis	NA	Cercopithecus albogularis	-999	-83.25	Cercopithecus_albogularis	NA	NA	NA
Cercopithecus_ascanius	3705	31.2	Cercopithecus_ascanius	Cercopithecus_ascanius	Cercopithecus ascanius	3540.24	28.3	Cercopithecus_ascanius	Cercopithecus_ascanius	3705	31.2
Cercopithecus_campbelli	3627.73	33	Cercopithecus_campbelli	Cercopithecus_campbelli	Cercopithecus campbelli	3627.73	33	Cercopithecus_campbelli	Cercopithecus_campbelli	3600	30
Cercopithecus_cephus	3585	36	Cercopithecus_cephus	Cercopithecus_cephus	Cercopithecus cephus	3444.88	23	Cercopithecus_cephus	Cercopithecus_cephus	3585	36
Cercopithecus_denti	NA	NA	Cercopithecus_denti	NA	Cercopithecus denti	-999	-83.25	Cercopithecus_denti	NA	NA	NA
Cercopithecus_diana	4550	37.300000000000004	Cercopithecus_diana	Cercopithecus_diana	Cercopithecus diana	4358.91	37.300000000000004	Cercopithecus_diana	Cercopithecus_diana	4550	35.1
Cercopithecus_doggetti	NA	NA	Cercopithecus_doggetti	NA	Cercopithecus doggetti	-999	-83.25	Cercopithecus_doggetti	NA	NA	NA
Cercopithecus_dryas	2784.06	NA	Cercopithecus_dryas	NA	Cercopithecus dryas	2784.06	-83.25	Cercopithecus_dryas	NA	NA	NA
Cercopithecus_erythrogaster	3444.88	24	Cercopithecus_erythrogaster	Cercopithecus_erythrogaster	Cercopithecus erythrogaster	3444.88	-83.25	Cercopithecus_erythrogaster	Cercopithecus_erythrogaster	3250	24
