label	size	lifespan	submitted_name_pantheria.pantheria	submitted_name_anage.pantheria	matched_name	size.pantheria	lifespan.pantheria	submitted_name_pantheria.anage	submitted_name_anage.anage	size.anage	lifespan.anage
Camelus_dromedarius	492714.47	40	Camelus_dromedarius	Camelus_dromedarius	Camelus dromedarius	492714.47	40	Camelus_dromedarius	Camelus_dromedarius	434000	28.4
Canis_adustus	10392.49	13.7	Canis_adustus	Canis_adustus	Canis adustus	10392.49	11.416666666666666	Canis_adustus	Canis_adustus	10250	13.7
Canis_aureus	11000	18.8	Canis_aureus	Canis_aureus	Canis aureus	9658.7	16	Canis_aureus	Canis_aureus	11000	18.8
Canis_latrans	13250	21.833333333333332	Canis_latrans	Canis_latrans	Canis latrans	11989.1	21.833333333333332	Canis_latrans	Canis_latrans	13250	21.8
Canis_lupus	31756.51	29.5	Canis_lupus	Canis_lupus	Canis lupus	31756.51	29.5	Canis_lupus	Canis_lupus	26625	20.6
Bos_frontalis	825000	26.2	Bos_frontalis	Bos_frontalis	Bos frontalis	800143.05	26.2	Bos_frontalis	Bos_frontalis	825000	26.2
Bos_grunniens	667000	26.3	Bos_grunniens	Bos_grunniens	Bos grunniens	500000	22.25	Bos_grunniens	Bos_grunniens	667000	26.3
Bos_javanicus	700000	27.1	Bos_javanicus	Bos_javanicus	Bos javanicus	635974.34	26.58	Bos_javanicus	Bos_javanicus	700000	27.1
Callicebus_cupreus	1117.02	NA	Callicebus_cupreus	NA	Callicebus cupreus	1117.02	-83.25	Callicebus_cupreus	NA	NA	NA
Callicebus_discolor	NA	NA	Callicebus_discolor	NA	Callicebus discolor	-999	-83.25	Callicebus_discolor	NA	NA	NA
Callicebus_donacophilus	897.67	NA	Callicebus_donacophilus	NA	Callicebus donacophilus	897.67	-83.25	Callicebus_donacophilus	NA	NA	NA
Callicebus_dubius	992.4	NA	Callicebus_dubius	NA	Callicebus dubius	992.4	-83.25	Callicebus_dubius	NA	NA	NA
Callicebus_hoffmannsi	1067.61	NA	Callicebus_hoffmannsi	NA	Callicebus hoffmannsi	1067.61	-83.25	Callicebus_hoffmannsi	NA	NA	NA
Callicebus_lucifer	NA	NA	Callicebus_lucifer	NA	Callicebus lucifer	-999	-83.25	Callicebus_lucifer	NA	NA	NA
Callicebus_lugens	NA	NA	Callicebus_lugens	NA	Callicebus lugens	-999	-83.25	Callicebus_lugens	NA	NA	NA
Callicebus_medemi	NA	NA	Callicebus_medemi	NA	Callicebus medemi	-999	-83.25	Callicebus_medemi	NA	NA	NA
Callicebus_melanochir	NA	NA	Callicebus_melanochir	NA	Callicebus melanochir	-999	-83.25	Callicebus_melanochir	NA	NA	NA
Callicebus_modestus	992.4	NA	Callicebus_modestus	NA	Callicebus modestus	992.4	-83.25	Callicebus_modestus	NA	NA	NA
Caluromys_derbianus	330	8.7	Caluromys_derbianus	Caluromys_derbianus	Caluromys derbianus	326.72	5	Caluromys_derbianus	Caluromys_derbianus	330	8.7
