ENSG00000002834.1	gene_37
ENSG00000005073.1	gene_91
ENSG00000005339.1	gene_106
ENSG00000005339.10	gene_107
ENSG00000005339.11	gene_108
ENSG00000005339.12	gene_109
ENSG00000005339.13	gene_110
ENSG00000005339.14	gene_111
ENSG00000005339.15	gene_112
ENSG00000005339.16	gene_113
ENSG00000005339.17	gene_114
ENSG00000005339.18	gene_115
ENSG00000005339.19	gene_116
ENSG00000005339.2	gene_117
ENSG00000005339.3	gene_118
ENSG00000005339.4	gene_119
ENSG00000005339.5	gene_120
ENSG00000005339.6	gene_121
ENSG00000005339.7	gene_122
ENSG00000005339.8	gene_123
ENSG00000005339.9	gene_124
ENSG00000006468.1	gene_173
ENSG00000007237.1	gene_245
ENSG00000007312.1	gene_250
ENSG00000009709.1	gene_323
ENSG00000010671.1	gene_359
ENSG00000012048.1	gene_411
ENSG00000015285.1	gene_538
ENSG00000018408.1	gene_561
ENSG00000019582.1	gene_575
ENSG00000023445.1	gene_617
ENSG00000026103.1	gene_644
ENSG00000029725.1	gene_675
ENSG00000037280.1	gene_740
ENSG00000039068.1	gene_761
ENSG00000046889.1	gene_832
ENSG00000047410.1	gene_846
ENSG00000047932.1	gene_860
ENSG00000047936.1	gene_861
ENSG00000048462.1	gene_870
ENSG00000049618.1	gene_894
ENSG00000051108.1	gene_919
ENSG00000051382.1	gene_924
ENSG00000055609.1	gene_995
ENSG00000057657.1	gene_1024
ENSG00000062822.1	gene_1107
ENSG00000064012.1	gene_1136
ENSG00000065361.1	gene_1199
ENSG00000065559.1	gene_1212
ENSG00000066117.1	gene_1241
ENSG00000066468.1	gene_1258
ENSG00000066468.2	gene_1259
ENSG00000067082.1	gene_1283
ENSG00000067560.1	gene_1303
ENSG00000067560.2	gene_1304
ENSG00000067842.1	gene_1315
ENSG00000067955.1	gene_1317
ENSG00000068078.1	gene_1322
ENSG00000068323.1	gene_1329
ENSG00000069399.1	gene_1374
ENSG00000071564.1	gene_1469
ENSG00000072062.1	gene_1488
ENSG00000072364.1	gene_1508
ENSG00000072694.1	gene_1545
ENSG00000072694.2	gene_1546
ENSG00000073282.1	gene_1571
ENSG00000073578.1	gene_1583
ENSG00000073584.1	gene_1584
ENSG00000073584.2	gene_1585
ENSG00000073584.3	gene_1586
ENSG00000073614.1	gene_1589
ENSG00000073803.1	gene_1599
ENSG00000073921.1	gene_1603
ENSG00000073921.2	gene_1604
ENSG00000076242.1	gene_1700
ENSG00000076685.1	gene_1715
