Seqtype	Species	Sample	Read	Filepath
RNA-seq	Myotis_auriculus	MA_S118_L002	R1	data/RNA-seq_trimmed/M_auriculus/MA_S118_L002_R1_001.fastq.gz
RNA-seq	Myotis_auriculus	MA_S118_L002	R2	data/RNA-seq_trimmed/M_auriculus/MA_S118_L002_R2_001.fastq.gz
RNA-seq	Myotis_californicus	MC_S119_L002	R1	data/RNA-seq_trimmed/M_californicus/MC_S119_L002_R1_001.fastq.gz
RNA-seq	Myotis_californicus	MC_S119_L002	R2	data/RNA-seq_trimmed/M_californicus/MC_S119_L002_R2_001.fastq.gz
RNA-seq	Myotis_evotis	E2R_S77_L002	R1	data/RNA-seq_trimmed/M_evotis/E2R_S77_L002_R1_001.fastq.gz
RNA-seq	Myotis_evotis	E2R_S77_L002	R2	data/RNA-seq_trimmed/M_evotis/E2R_S77_L002_R2_001.fastq.gz
RNA-seq	Myotis_occultus	MO_S117_L002	R1	data/RNA-seq_trimmed/M_occultus/MO_S117_L002_R1_001.fastq.gz
RNA-seq	Myotis_occultus	MO_S117_L002	R2	data/RNA-seq_trimmed/M_occultus/MO_S117_L002_R2_001.fastq.gz
RNA-seq	Myotis_thysanodes	T3R_S76_L002	R1	data/RNA-seq_trimmed/M_thysanodes/T3R_S76_L002_R1_001.fastq.gz
RNA-seq	Myotis_thysanodes	T3R_S76_L002	R2	data/RNA-seq_trimmed/M_thysanodes/T3R_S76_L002_R2_001.fastq.gz
RNA-seq	Myotis_volans	MV_S116_L002	R1	data/RNA-seq_trimmed/M_volans/MV_S116_L002_R1_001.fastq.gz
RNA-seq	Myotis_volans	MV_S116_L002	R2	data/RNA-seq_trimmed/M_volans/MV_S116_L002_R2_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-brain	R1	data/RNA-seq_trimmed/M_velifer/LE001-brain_R1_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-brain	R2	data/RNA-seq_trimmed/M_velifer/LE001-brain_R2_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-heart	R1	data/RNA-seq_trimmed/M_velifer/LE001-heart_R1_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-heart	R2	data/RNA-seq_trimmed/M_velifer/LE001-heart_R2_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-kidney	R1	data/RNA-seq_trimmed/M_velifer/LE001-kidney_R1_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-kidney	R2	data/RNA-seq_trimmed/M_velifer/LE001-kidney_R2_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-lung	R1	data/RNA-seq_trimmed/M_velifer/LE001-lung_R1_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-lung	R2	data/RNA-seq_trimmed/M_velifer/LE001-lung_R2_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-pancreas	R1	data/RNA-seq_trimmed/M_velifer/LE001-pancreas_R1_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-pancreas	R2	data/RNA-seq_trimmed/M_velifer/LE001-pancreas_R2_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-testis	R1	data/RNA-seq_trimmed/M_velifer/LE001-testis_R1_001.fastq.gz
RNA-seq	Myotis_velifer	LE001-testis	R2	data/RNA-seq_trimmed/M_velifer/LE001-testis_R2_001.fastq.gz
RNA-seq	M_lucifugus	SRR10083333	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10083333_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10083334	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10083334_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10083335	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10083335_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10083336	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10083336_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10083337	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10083337_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10083338	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10083338_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10083339	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10083339_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10083340	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10083340_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10083351	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10083351_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10083352	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10083352_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1013468	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1013468_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512805	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512805_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512806	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512806_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512807	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512807_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512808	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512808_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512809	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512809_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512818	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512818_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512829	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512829_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512840	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512840_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512845	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512845_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512846	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512846_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512847	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512847_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512848	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512848_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512849	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512849_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512850	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512850_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512851	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512851_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10512852	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR10512852_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1270869	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1270869_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1270914	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1270914_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1270919	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1270919_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1270921	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1270921_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1270922	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1270922_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1270923	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1270923_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1869462	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1869462_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761563	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761563_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761564	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761564_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761565	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761565_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761566	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761566_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761567	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761567_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761568	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761568_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761569	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761569_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761570	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761570_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761571	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761571_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761572	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761572_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761573	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761573_R1.fastq.gz
RNA-seq	M_lucifugus	SRR18761574	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR18761574_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1916825	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1916825_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1916826	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1916826_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1916827	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1916827_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1916830	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1916830_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1916832	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1916832_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1916834	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1916834_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1916836	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1916836_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1916839	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1916839_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1916841	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1916841_R1.fastq.gz
RNA-seq	M_lucifugus	SRR1916842	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR1916842_R1.fastq.gz
RNA-seq	M_lucifugus	SRR4249979	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR4249979_R1.fastq.gz
RNA-seq	M_lucifugus	SRR4249988	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR4249988_R1.fastq.gz
RNA-seq	M_lucifugus	SRR5676382	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR5676382_R1.fastq.gz
RNA-seq	M_lucifugus	SRR5676383	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR5676383_R1.fastq.gz
RNA-seq	M_lucifugus	SRR5676395	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR5676395_R1.fastq.gz
RNA-seq	M_lucifugus	SRR5676396	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR5676396_R1.fastq.gz
RNA-seq	M_lucifugus	SRR5676402	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR5676402_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793287	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793287_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793288	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793288_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793289	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793289_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793290	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793290_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793291	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793291_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793292	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793292_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793293	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793293_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793294	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793294_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793295	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793295_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793296	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793296_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793297	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793297_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793298	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793298_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793299	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793299_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793300	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793300_R1.fastq.gz
RNA-seq	M_lucifugus	SRR6793301	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR6793301_R1.fastq.gz
RNA-seq	M_lucifugus	SRR7064951	R1	data/RNA-seq/M_lucifugus/PAIRED/SRR7064951_R1.fastq.gz
RNA-seq	M_lucifugus	SRR10083333	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083333_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083334	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083334_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083335	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083335_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083336	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083336_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083337	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083337_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083338	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083338_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083339	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083339_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083340	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083340_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083351	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083351_R2.fastq.gz
RNA-seq	M_lucifugus	SRR10083352	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR10083352_R2.fastq.gz
RNA-seq	M_lucifugus	SRR1013468	R2	data/RNA-seq/M_lucifugus/PAIRED/SRR1013468_R2.fastq.gz
