parent,node,branch.length,label,Brownian,Median,95%CI_Low,95%CI_High,Branch,Branch_midpoint_height,Orig_len,Rate,sqrt.rate
1803,35,6.75854,Apodemus.agrarius,3.06805,3.06805,3.06805,3.06805,Apodemus.agrarius->n27,90,16.6,10.0009,16.6
1803,36,1.87389,Apodemus.mystacinus,3.81991,3.81991,3.81991,3.81991,Apodemus.mystacinus->n27,90,16.6,5.26606,16.6
1804,37,0.13081,Apodemus.flavicollis,3.37929,3.37929,3.37929,3.37929,Apodemus.flavicollis->n28,95.85,4.9,2.56088,4.9
1804,38,0.703394,Apodemus.sylvaticus,3.15188,3.15188,3.15188,3.15188,Apodemus.sylvaticus->n28,95.85,4.9,5.9384,4.9
1797,39,0.328235,Arvicanthis.niloticus,4.16667,4.16667,4.16667,4.16667,Arvicanthis.niloticus->n21,83.75,29.1,1.66462,29.1
1805,40,1.79313,Bandicota.bengalensis,5.11602,5.11602,5.11602,5.11602,Bandicota.bengalensis->n29,94.25,8.1,7.37448,8.1
1805,41,24.1535,Bandicota.indica,6.30079,6.30079,6.30079,6.30079,Bandicota.indica->n29,94.25,8.1,27.0654,8.1
1797,42,18.709,Chiropodomys.gliroides,3.23868,3.23868,3.23868,3.23868,Chiropodomys.gliroides->n21,83.75,29.1,12.5674,29.1
1797,43,0.00331023,Colomys.goslingi,4.06903,4.06903,4.06903,4.06903,Colomys.goslingi->n21,83.75,29.1,0.167167,29.1
1808,44,5.43121,Conilurus.penicillatus,4.96981,4.96981,4.96981,4.96981,Conilurus.penicillatus->n32,94.1,8.4,12.6031,8.4
1808,45,4.35404,Leporillus.conditor,5.80664,5.80664,5.80664,5.80664,Leporillus.conditor->n32,94.1,8.4,11.2843,8.4
1809,46,34.837,Mesembriomys.gouldii,6.80239,6.80239,6.80239,6.80239,Mesembriomys.gouldii->n33,96.5,3.6,48.757,3.6
1809,47,0.232474,Mesembriomys.macrurus,5.59285,5.59285,5.59285,5.59285,Mesembriomys.macrurus->n33,96.5,3.6,3.98294,3.6
1810,48,0.647021,Melomys.burtoni,4.12713,4.12713,4.12713,4.12713,Melomys.burtoni->n34,90.45,15.7,3.18183,15.7
1810,49,0.307935,Melomys.capensis,4.17439,4.17439,4.17439,4.17439,Melomys.capensis->n34,90.45,15.7,2.19507,15.7
1810,50,1.93846,Melomys.cervinipes,4.54329,4.54329,4.54329,4.54329,Melomys.cervinipes->n34,90.45,15.7,5.50739,15.7
1810,51,2.26036,Melomys.leucogaster,4.56435,4.56435,4.56435,4.56435,Melomys.leucogaster->n34,90.45,15.7,5.94712,15.7
1810,52,0.416802,Melomys.levipes,4.40183,4.40183,4.40183,4.40183,Melomys.levipes->n34,90.45,15.7,2.55378,15.7
1810,53,1.32482,Melomys.moncktoni,4.49758,4.49758,4.49758,4.49758,Melomys.moncktoni->n34,90.45,15.7,4.55299,15.7
1810,54,5.7187,Melomys.rubex,3.82647,3.82647,3.82647,3.82647,Melomys.rubex->n34,90.45,15.7,9.45947,15.7
1810,55,1.46722,Melomys.rufescens,4.05004,4.05004,4.05004,4.05004,Melomys.rufescens->n34,90.45,15.7,4.79144,15.7
1811,56,7.33887,Zyzomys.argurus,3.91202,3.91202,3.91202,3.91202,Zyzomys.argurus->n35,93.45,9.7,13.6332,9.7
1811,57,0.388207,Zyzomys.maini,4.54329,4.54329,4.54329,4.54329,Zyzomys.maini->n35,93.45,9.7,3.13555,9.7
1811,58,5.45004,Zyzomys.woodwardi,4.86753,4.86753,4.86753,4.86753,Zyzomys.woodwardi->n35,93.45,9.7,11.7485,9.7
1812,59,1.24631e-4,Leggadina.forresti,2.99573,2.99573,2.99573,2.99573,Leggadina.forresti->n36,95.95,4.7,0.0807109,4.7
1812,60,0.512641,Leggadina.lakedownensis,2.8622,2.8622,2.8622,2.8622,Leggadina.lakedownensis->n36,95.95,4.7,5.17637,4.7
1813,61,0.535374,Notomys.alexis,3.55535,3.55535,3.55535,3.55535,Notomys.alexis->n37,92.85,10.9,3.47363,10.9
1813,62,0.0257655,Notomys.aquilo,3.66356,3.66356,3.66356,3.66356,Notomys.aquilo->n37,92.85,10.9,0.762033,10.9
1813,63,0.535374,Notomys.cervinus,3.55535,3.55535,3.55535,3.55535,Notomys.cervinus->n37,92.85,10.9,3.47363,10.9
1813,64,0.535374,Notomys.fuscus,3.55535,3.55535,3.55535,3.55535,Notomys.fuscus->n37,92.85,10.9,3.47363,10.9
1813,65,1.8441,Notomys.mitchellii,3.95124,3.95124,3.95124,3.95124,Notomys.mitchellii->n37,92.85,10.9,6.44683,10.9
1814,66,5.33873,Pseudomys.albocinereus,3.2581,3.2581,3.2581,3.2581,Pseudomys.albocinereus->n38,87.55,21.5,7.8103,21.5
1814,67,13.6565,Pseudomys.apodemoides,2.99573,2.99573,2.99573,2.99573,Pseudomys.apodemoides->n38,87.55,21.5,12.4916,21.5
1814,68,6.38058,Pseudomys.australis,4.17439,4.17439,4.17439,4.17439,Pseudomys.australis->n38,87.55,21.5,8.53844,21.5
1814,69,46.9369,Pseudomys.delicatulus,2.3979,2.3979,2.3979,2.3979,Pseudomys.delicatulus->n38,87.55,21.5,23.1583,21.5
1814,70,6.33825,Pseudomys.desertor,3.21888,3.21888,3.21888,3.21888,Pseudomys.desertor->n38,87.55,21.5,8.51007,21.5
1814,71,0.34217,Pseudomys.fieldi,3.80666,3.80666,3.80666,3.80666,Pseudomys.fieldi->n38,87.55,21.5,1.97729,21.5
1814,72,8.50984,Pseudomys.fumeus,4.2485,4.2485,4.2485,4.2485,Pseudomys.fumeus->n38,87.55,21.5,9.86074,21.5
1814,73,47.1853,Pseudomys.fuscus,4.99721,4.99721,4.99721,4.99721,Pseudomys.fuscus->n38,87.55,21.5,23.2195,21.5
1814,74,5.57422,Pseudomys.gracilicaudatus,4.14313,4.14313,4.14313,4.14313,Pseudomys.gracilicaudatus->n38,87.55,21.5,7.98069,21.5
1814,75,40.8548,Pseudomys.hermannsburgensis,2.48491,2.48491,2.48491,2.48491,Pseudomys.hermannsburgensis->n38,87.55,21.5,21.6058,21.5
1814,76,4.46164,Pseudomys.higginsi,4.09601,4.09601,4.09601,4.09601,Pseudomys.higginsi->n38,87.55,21.5,7.13996,21.5
1814,77,0.800281,Pseudomys.nanus,3.52636,3.52636,3.52636,3.52636,Pseudomys.nanus->n38,87.55,21.5,3.02392,21.5
1814,78,18.0761,Pseudomys.novaehollandiae,2.89037,2.89037,2.89037,2.89037,Pseudomys.novaehollandiae->n38,87.55,21.5,14.3715,21.5
1814,79,20.5126,Pseudomys.oralis,4.55388,4.55388,4.55388,4.55388,Pseudomys.oralis->n38,87.55,21.5,15.3094,21.5
1814,80,46.9369,Pseudomys.pilligaensis,2.3979,2.3979,2.3979,2.3979,Pseudomys.pilligaensis->n38,87.55,21.5,23.1583,21.5
1814,81,0.34217,Pseudomys.praeconis,3.80666,3.80666,3.80666,3.80666,Pseudomys.praeconis->n38,87.55,21.5,1.97729,21.5
1814,82,5.97369,Pseudomys.shortridgei,4.15888,4.15888,4.15888,4.15888,Pseudomys.shortridgei->n38,87.55,21.5,8.26171,21.5
1816,83,31.9023,Cremnomys.blanfordi,2.64617,2.64617,2.64617,2.64617,Cremnomys.blanfordi->n40,94.6,7.4,32.5434,7.4
1816,84,3.91344,Cremnomys.cutchicus,4.09101,4.09101,4.09101,4.09101,Cremnomys.cutchicus->n40,94.6,7.4,11.3981,7.4
1815,85,2.69211,Millardia.meltada,4.2485,4.2485,4.2485,4.2485,Millardia.meltada->n39,91.15,14.3,6.80059,14.3
1797,86,10.2659,Dasymys.incomtus,4.66514,4.66514,4.66514,4.66514,Dasymys.incomtus->n21,83.75,29.1,9.30936,29.1
1818,87,1.90138,Dephomys.defua,3.80666,3.80666,3.80666,3.80666,Dephomys.defua->n42,91.25,14.1,5.75562,14.1
1818,88,0.40459,Hybomys.univittatus,3.94739,3.94739,3.94739,3.94739,Hybomys.univittatus->n42,91.25,14.1,2.65501,14.1
1817,89,133.991,Hydromys.chrysogaster,6.40688,6.40688,6.40688,6.40688,Hydromys.chrysogaster->n41,88.6,19.4,41.1913,19.4
1797,90,3.86991,Tateomys.rhinogradoides,4.43082,4.43082,4.43082,4.43082,Tateomys.rhinogradoides->n21,83.75,29.1,5.71573,29.1
1797,91,0.376588,Golunda.ellioti,4.17439,4.17439,4.17439,4.17439,Golunda.ellioti->n21,83.75,29.1,1.78301,29.1
1820,92,1.37047,Grammomys.dolichurus,3.77735,3.77735,3.77735,3.77735,Grammomys.dolichurus->n44,90.15,16.3,4.54474,16.3
1820,93,0.0231818,Grammomys.rutilans,3.97029,3.97029,3.97029,3.97029,Grammomys.rutilans->n44,90.15,16.3,0.591081,16.3
1819,94,2.43148,Thallomys.paedulcus,4.34937,4.34937,4.34937,4.34937,Thallomys.paedulcus->n43,88.35,19.9,5.47869,19.9
1821,95,0.00312167,Hylomyscus.alleni,2.99573,2.99573,2.99573,2.99573,Hylomyscus.alleni->n45,95.75,5.1,0.387772,5.1
1821,96,0.802691,Hylomyscus.stella,2.81541,2.81541,2.81541,2.81541,Hylomyscus.stella->n45,95.75,5.1,6.21809,5.1
1822,97,1.09808,Oenomys.hypoxanthus,4.44852,4.44852,4.44852,4.44852,Oenomys.hypoxanthus->n46,92.4,11.8,4.78129,11.8
1822,98,0.15926,Thamnomys.venustus,4.17439,4.17439,4.17439,4.17439,Thamnomys.venustus->n46,92.4,11.8,1.82087,11.8
1823,99,0.40449,Lemniscomys.griselda,4.07754,4.07754,4.07754,4.07754,Lemniscomys.griselda->n47,91.55,13.5,2.71303,13.5
1823,100,1.25528,Lemniscomys.striatus,3.74479,3.74479,3.74479,3.74479,Lemniscomys.striatus->n47,91.55,13.5,4.77938,13.5
1824,101,1.11435,Mastomys.erythroleucus,3.63152,3.63152,3.63152,3.63152,Mastomys.erythroleucus->n48,90.95,14.7,4.31539,14.7
1824,102,0.0181312,Mastomys.natalensis,3.806,3.806,3.806,3.806,Mastomys.natalensis->n48,90.95,14.7,0.550456,14.7
1797,103,143.109,Micromys.minutus,1.79176,1.79176,1.79176,1.79176,Micromys.minutus->n21,83.75,29.1,34.758,29.1
1826,104,4.69496,Mus.booduga,2.22138,2.22138,2.22138,2.22138,Mus.booduga->n50,96.1,4.4,16.1904,4.4
1826,105,1.24643,Mus.caroli,2.42037,2.42037,2.42037,2.42037,Mus.caroli->n50,96.1,4.4,8.3421,4.4
1826,106,1.62737,Mus.cervicolor,2.87356,2.87356,2.87356,2.87356,Mus.cervicolor->n50,96.1,4.4,9.53202,4.4
1826,107,4.20607,Mus.musculus,3.02042,3.02042,3.02042,3.02042,Mus.musculus->n50,96.1,4.4,15.3243,4.4
1826,108,0.189311,Mus.spretus,2.54945,2.54945,2.54945,2.54945,Mus.spretus->n50,96.1,4.4,3.25109,4.4
1827,109,2.36429,Mus.minutoides,1.981,1.981,1.981,1.981,Mus.minutoides->n51,94.5,7.6,8.74202,7.6
1827,110,6.43389,Mus.musculoides,1.79176,1.79176,1.79176,1.79176,Mus.musculoides->n51,94.5,7.6,14.4211,7.6
1827,111,1.73321,Mus.triton,2.52172,2.52172,2.52172,2.52172,Mus.triton->n51,94.5,7.6,7.48491,7.6
1825,112,7.76235,Mus.platythrix,3.33932,3.33932,3.33932,3.33932,Mus.platythrix->n49,91.4,13.8,11.7551,13.8
1828,113,11.2789,Pelomys.fallax,4.77068,4.77068,4.77068,4.77068,Pelomys.fallax->n52,86.45,23.7,10.8125,23.7
1828,114,1.37814,Pelomys.minor,3.91202,3.91202,3.91202,3.91202,Pelomys.minor->n52,86.45,23.7,3.77956,23.7
1829,115,0.391173,Myomys.daltoni,3.51155,3.51155,3.51155,3.51155,Myomys.daltoni->n53,90.3,16,2.45071,16
1829,116,0.752108,Myomys.derooi,3.46574,3.46574,3.46574,3.46574,Myomys.derooi->n53,90.3,16,3.39819,16
1829,117,1.45905,Myomys.fumatus,3.4012,3.4012,3.4012,3.4012,Myomys.fumatus->n53,90.3,16,4.73307,16
1797,118,22.9815,Nesokia.indica,4.96634,4.96634,4.96634,4.96634,Nesokia.indica->n21,83.75,29.1,13.9287,29.1
1797,119,0.527294,Niviventer.niviventer,4.1957,4.1957,4.1957,4.1957,Niviventer.niviventer->n21,83.75,29.1,2.10983,29.1
1831,120,1.85932,Otomys.angoniensis,5.01695,5.01695,5.01695,5.01695,Otomys.angoniensis->n55,91.3,14,5.71191,14
1831,121,1.48402,Otomys.irroratus,4.98941,4.98941,4.98941,4.98941,Otomys.irroratus->n55,91.3,14,5.10298,14
1831,122,0.0384938,Otomys.sloggetti,4.79579,4.79579,4.79579,4.79579,Otomys.sloggetti->n55,91.3,14,0.821862,14
1830,123,0.046073,Parotomys.brantsii,4.78749,4.78749,4.78749,4.78749,Parotomys.brantsii->n54,91.15,14.3,0.889659,14.3
1797,124,9.57604,Pithecheir.parvus,4.64439,4.64439,4.64439,4.64439,Pithecheir.parvus->n21,83.75,29.1,8.99113,29.1
1832,125,8.42506,Pogonomys.loriae,4.55388,4.55388,4.55388,4.55388,Pogonomys.loriae->n56,93.2,10.2,14.2447,10.2
1832,126,1.06052,Pogonomys.macrourus,3.80888,3.80888,3.80888,3.80888,Pogonomys.macrourus->n56,93.2,10.2,5.05391,10.2
1832,127,3.18038,Pogonomys.sylvestris,3.66612,3.66612,3.66612,3.66612,Pogonomys.sylvestris->n56,93.2,10.2,8.752,10.2
1833,128,1.62993,Praomys.delectorum,3.29584,3.29584,3.29584,3.29584,Praomys.delectorum->n57,91.1,14.4,5.27317,14.4
1833,129,0.636703,Praomys.jacksoni,3.68888,3.68888,3.68888,3.68888,Praomys.jacksoni->n57,91.1,14.4,3.29576,14.4
1833,130,6.77694,Praomys.morio,3.04452,3.04452,3.04452,3.04452,Praomys.morio->n57,91.1,14.4,10.7524,14.4
1833,131,0.146044,Praomys.tullbergi,3.61011,3.61011,3.61011,3.61011,Praomys.tullbergi->n57,91.1,14.4,1.57844,14.4
1835,132,15.8608,Rattus.colletti,4.11087,4.11087,4.11087,4.11087,Rattus.colletti->n59,93.5,9.6,20.1463,9.6
1835,133,0.0173856,Rattus.fuscipes,4.89035,4.89035,4.89035,4.89035,Rattus.fuscipes->n59,93.5,9.6,0.667002,9.6
1835,134,0.404154,Rattus.lutreolus,4.74493,4.74493,4.74493,4.74493,Rattus.lutreolus->n59,93.5,9.6,3.21592,9.6
1835,135,0.0382663,Rattus.sordidus,4.82831,4.82831,4.82831,4.82831,Rattus.sordidus->n59,93.5,9.6,0.989556,9.6
1835,136,0.497076,Rattus.tunneyi,4.7318,4.7318,4.7318,4.7318,Rattus.tunneyi->n59,93.5,9.6,3.56651,9.6
1835,137,5.22253,Rattus.villosissimus,5.29832,5.29832,5.29832,5.29832,Rattus.villosissimus->n59,93.5,9.6,11.5604,9.6
1836,138,0.0878113,Rattus.leucopus,4.82028,4.82028,4.82028,4.82028,Rattus.leucopus->n60,93.5,9.6,1.49902,9.6
1836,139,0.102216,Rattus.praetor,4.93699,4.93699,4.93699,4.93699,Rattus.praetor->n60,93.5,9.6,1.61731,9.6
1836,140,0.777124,Rattus.steini,5.04343,5.04343,5.04343,5.04343,Rattus.steini->n60,93.5,9.6,4.45941,9.6
1834,141,10.8671,Rattus.exulans,4.2485,4.2485,4.2485,4.2485,Rattus.exulans->n58,93.4,9.8,16.5048,9.8
1837,142,1.1094,Rattus.argentiventer,5.30827,5.30827,5.30827,5.30827,Rattus.argentiventer->n61,95.5,5.6,6.97618,5.6
1837,143,4.42748,Rattus.rattus,5.50736,5.50736,5.50736,5.50736,Rattus.rattus->n61,95.5,5.6,13.9364,5.6
1837,144,1.89222,Rattus.tiomanicus,4.84812,4.84812,4.84812,4.84812,Rattus.tiomanicus->n61,95.5,5.6,9.11086,5.6
1834,145,16.1675,Rattus.norvegicus,5.63479,5.63479,5.63479,5.63479,Rattus.norvegicus->n58,93.4,9.8,20.1315,9.8
1797,146,0.444439,Rhabdomys.pumilio,3.93183,3.93183,3.93183,3.93183,Rhabdomys.pumilio->n21,83.75,29.1,1.93699,29.1
1797,147,1.77874,Stochomys.longicaudatus,4.3108,4.3108,4.3108,4.3108,Stochomys.longicaudatus->n21,83.75,29.1,3.87505,29.1
1797,148,85.6198,Sundamys.muelleri,5.81114,5.81114,5.81114,5.81114,Sundamys.muelleri->n21,83.75,29.1,26.8849,29.1
1797,149,0.0136325,Vandeleuria.nolthenii,4.03601,4.03601,4.03601,4.03601,Vandeleuria.nolthenii->n21,83.75,29.1,0.339242,29.1
1797,150,0.100068,Zelotomys.woosnami,3.9982,3.9982,3.9982,3.9982,Zelotomys.woosnami->n21,83.75,29.1,0.919112,29.1
1842,151,0.0252848,Akodon.longipilis,3.62567,3.62567,3.62567,3.62567,Akodon.longipilis->n66,93.9,8.8,0.840149,8.8
1843,152,1.69472,Akodon.azarae,3.30798,3.30798,3.30798,3.30798,Akodon.azarae->n67,95.65,5.3,8.86296,5.3
1843,153,0.447541,Akodon.cursor,3.68135,3.68135,3.68135,3.68135,Akodon.cursor->n67,95.65,5.3,4.55456,5.3
1843,154,1.36485,Akodon.olivaceus,3.33328,3.33328,3.33328,3.33328,Akodon.olivaceus->n67,95.65,5.3,7.95377,5.3
1843,155,3.55909,Akodon.urichi,3.91202,3.91202,3.91202,3.91202,Akodon.urichi->n67,95.65,5.3,12.844,5.3
1843,156,2.48153,Akodon.boliviensis,3.25617,3.25617,3.25617,3.25617,Akodon.boliviensis->n67,95.65,5.3,10.7248,5.3
1844,157,1.93559,Akodon.dolores,3.91202,3.91202,3.91202,3.91202,Akodon.dolores->n68,97.5,1.6,17.2391,1.6
1844,158,0.643163,Akodon.molinae,3.49651,3.49651,3.49651,3.49651,Akodon.molinae->n68,97.5,1.6,9.9373,1.6
1844,159,0.0241726,Akodon.varius,3.61899,3.61899,3.61899,3.61899,Akodon.varius->n68,97.5,1.6,1.9265,1.6
1846,160,1.43264,Auliscomys.micropus,4.28496,4.28496,4.28496,4.28496,Auliscomys.micropus->n70,93.7,9.2,6.18505,9.2
1846,161,0.468762,Phyllotis.darwini,3.92849,3.92849,3.92849,3.92849,Phyllotis.darwini->n70,93.7,9.2,3.53794,9.2
1845,162,0.575413,Graomys.griseoflavus,4.18965,4.18965,4.18965,4.18965,Graomys.griseoflavus->n69,93.1,10.4,3.68673,10.4
1841,163,1.44062,Bolomys.lasiurus,3.68713,3.68713,3.68713,3.68713,Bolomys.lasiurus->n65,90.25,16.1,4.68845,16.1
1847,164,2.07497,Calomys.callosus,3.71357,3.71357,3.71357,3.71357,Calomys.callosus->n71,94.15,8.3,7.83673,8.3
1847,165,0.584416,Calomys.hummelincki,3.29584,3.29584,3.29584,3.29584,Calomys.hummelincki->n71,94.15,8.3,4.15901,8.3
1847,166,0.204581,Calomys.laucha,3.52636,3.52636,3.52636,3.52636,Calomys.laucha->n71,94.15,8.3,2.46072,8.3
1847,167,0.711118,Calomys.lepidus,3.28091,3.28091,3.28091,3.28091,Calomys.lepidus->n71,94.15,8.3,4.58775,8.3
1847,168,9.14041,Calomys.musculinus,2.8679,2.8679,2.8679,2.8679,Calomys.musculinus->n71,94.15,8.3,16.448,8.3
1841,169,20.1835,Eligmodontia.typus,3.06339,3.06339,3.06339,3.06339,Eligmodontia.typus->n65,90.25,16.1,17.549,16.1
1841,170,35.5078,Holochilus.brasiliensis,5.04343,5.04343,5.04343,5.04343,Holochilus.brasiliensis->n65,90.25,16.1,23.2765,16.1
1841,171,26.2193,Neacomys.tenuipes,2.94444,2.94444,2.94444,2.94444,Neacomys.tenuipes->n65,90.25,16.1,20.0016,16.1
1848,172,0.133168,Nectomys.parvipes,5.55102,5.55102,5.55102,5.55102,Nectomys.parvipes->n72,95.8,5,2.5579,5
1848,173,0.984686,Nectomys.squamipes,5.66988,5.66988,5.66988,5.66988,Nectomys.squamipes->n72,95.8,5,6.95556,5
1841,174,1.01567,Oecomys.concolor,4.10545,4.10545,4.10545,4.10545,Oecomys.concolor->n65,90.25,16.1,3.9367,16.1
1849,175,1.04957,Oligoryzomys.flavescens,3.04452,3.04452,3.04452,3.04452,Oligoryzomys.flavescens->n73,95.85,4.9,7.25397,4.9
1849,176,0.199551,Oligoryzomys.longicaudatus,3.32324,3.32324,3.32324,3.32324,Oligoryzomys.longicaudatus->n73,95.85,4.9,3.16298,4.9
1849,177,0.390909,Oligoryzomys.nigripes,3.12016,3.12016,3.12016,3.12016,Oligoryzomys.nigripes->n73,95.85,4.9,4.42698,4.9
1850,178,2.17499,Oryzomys.capito,4.14551,4.14551,4.14551,4.14551,Oryzomys.capito->n74,94.55,7.5,8.44047,7.5
1850,179,9.12772e-5,Oryzomys.palustris,3.8643,3.8643,3.8643,3.8643,Oryzomys.palustris->n74,94.55,7.5,0.0546787,7.5
1850,180,95.4809,Oryzomys.subflavus,2.0149,2.0149,2.0149,2.0149,Oryzomys.subflavus->n74,94.55,7.5,55.9237,7.5
1841,181,7.94489,Oxymycterus.rufus,4.44852,4.44852,4.44852,4.44852,Oxymycterus.rufus->n65,90.25,16.1,11.0103,16.1
1841,182,3.70169,Reithrodon.auritus,4.27902,4.27902,4.27902,4.27902,Reithrodon.auritus->n65,90.25,16.1,7.51545,16.1
1851,183,0.0462659,Rhipidomys.latimanus,4.05178,4.05178,4.05178,4.05178,Rhipidomys.latimanus->n75,94.2,8.2,1.17731,8.2
1851,184,1.40999,Rhipidomys.mastacalis,4.31749,4.31749,4.31749,4.31749,Rhipidomys.mastacalis->n75,94.2,8.2,6.49934,8.2
1841,185,0.115444,Wiedomys.pyrrhorhinos,3.85015,3.85015,3.85015,3.85015,Wiedomys.pyrrhorhinos->n65,90.25,16.1,1.32721,16.1
1841,186,0.593246,Zygodontomys.brevicauda,4.06044,4.06044,4.06044,4.06044,Zygodontomys.brevicauda->n65,90.25,16.1,3.00866,16.1
1852,187,20.1826,Sigmodon.alstoni,4.01998,4.01998,4.01998,4.01998,Sigmodon.alstoni->n76,95.45,5.7,29.493,5.7
1852,188,6.43991,Sigmodon.fulviventer,5.35186,5.35186,5.35186,5.35186,Sigmodon.fulviventer->n76,95.45,5.7,16.6598,5.7
1852,189,3.39882,Sigmodon.hispidus,5.22036,5.22036,5.22036,5.22036,Sigmodon.hispidus->n76,95.45,5.7,12.103,5.7
1852,190,0.0399784,Sigmodon.leucotis,4.90897,4.90897,4.90897,4.90897,Sigmodon.leucotis->n76,95.45,5.7,1.31263,5.7
1852,191,0.528982,Sigmodon.ochrognathus,4.7333,4.7333,4.7333,4.7333,Sigmodon.ochrognathus->n76,95.45,5.7,4.77475,5.7
1853,192,3.8668,Nyctomys.sumichrasti,3.9765,3.9765,3.9765,3.9765,Nyctomys.sumichrasti->n77,84.8,27,5.93146,27
