parent,node,branch.length,label,Brownian,Median,95%CI_Low,95%CI_High,Branch,Branch_midpoint_height,Orig_len,Rate,sqrt.rate
1786,1,5.02835,Anomalurus.beecrofti,5.96358,5.96358,5.96358,5.96358,Anomalurus.beecrofti->n10,86.5,23.6,7.23477,23.6
1786,2,1.85436,Anomalurus.derbianus,6.64639,6.64639,6.64639,6.64639,Anomalurus.derbianus->n10,86.5,23.6,4.39348,23.6
1786,3,28.9943,Anomalurus.pelii,7.40853,7.40853,7.40853,7.40853,Anomalurus.pelii->n10,86.5,23.6,17.3727,23.6
1785,4,304.252,Idiurus.zenkeri,2.75684,2.75684,2.75684,2.75684,Idiurus.zenkeri->n9,82.7,31.2,48.9449,31.2
1784,5,129.126,Pedetes.capensis,8.16052,8.16052,8.16052,8.16052,Pedetes.capensis->n8,70.85,54.9,24.0375,54.9
1789,6,0.115929,Allactaga.elater,4.07193,4.07193,4.07193,4.07193,Allactaga.elater->n13,86.05,24.5,1.07815,24.5
1789,7,5.07248,Allactaga.euphratica,3.58074,3.58074,3.58074,3.58074,Allactaga.euphratica->n13,86.05,24.5,7.13173,24.5
1789,8,16.0511,Allactaga.sibirica,4.76644,4.76644,4.76644,4.76644,Allactaga.sibirica->n13,86.05,24.5,12.6864,24.5
1789,9,0.0879521,Allactaga.tetradactyla,3.95124,3.95124,3.95124,3.95124,Allactaga.tetradactyla->n13,86.05,24.5,0.939092,24.5
1791,10,83.3502,Sicista.betulina,2.07944,2.07944,2.07944,2.07944,Sicista.betulina->n15,79.05,38.5,23.0617,38.5
1792,11,1.73954,Dipus.sagitta,4.46591,4.46591,4.46591,4.46591,Dipus.sagitta->n16,92.4,11.8,6.01788,11.8
1792,12,2.25053,Eremodipus.lichtensteini,3.93183,3.93183,3.93183,3.93183,Eremodipus.lichtensteini->n16,92.4,11.8,6.84493,11.8
1793,13,1.32981,Jaculus.jaculus,4.00733,4.00733,4.00733,4.00733,Jaculus.jaculus->n17,92.55,11.5,5.32983,11.5
1793,14,12.5833,Jaculus.orientalis,4.89784,4.89784,4.89784,4.89784,Jaculus.orientalis->n17,92.55,11.5,16.3952,11.5
1792,15,1.21365,Stylodipus.telum,4.00733,4.00733,4.00733,4.00733,Stylodipus.telum->n16,92.4,11.8,5.02658,11.8
1794,16,0.460057,Napaeozapus.insignis,3.06011,3.06011,3.06011,3.06011,Napaeozapus.insignis->n18,92.35,11.9,3.08177,11.9
1795,17,2.05752,Zapus.hudsonius,2.90417,2.90417,2.90417,2.90417,Zapus.hudsonius->n19,93.25,10.1,7.07424,10.1
1795,18,0.930203,Zapus.princeps,3.35864,3.35864,3.35864,3.35864,Zapus.princeps->n19,93.25,10.1,4.75659,10.1
1795,19,1.26405e-4,Zapus.trinotatus,3.17805,3.17805,3.17805,3.17805,Zapus.trinotatus->n19,93.25,10.1,0.0554485,10.1
1790,20,0.522056,Pygeretmus.pumilio,3.95757,3.95757,3.95757,3.95757,Pygeretmus.pumilio->n14,78.9,38.8,1.81807,38.8
1799,21,0.27592,Acomys.cahirinus,3.8122,3.8122,3.8122,3.8122,Acomys.cahirinus->n23,95.65,5.3,3.5762,5.3
1799,22,2.25092,Acomys.russatus,3.99692,3.99692,3.99692,3.99692,Acomys.russatus->n23,95.65,5.3,10.2143,5.3
1799,23,14.3215,Acomys.wilsoni,2.99573,2.99573,2.99573,2.99573,Acomys.wilsoni->n23,95.65,5.3,25.7647,5.3
1800,24,0.408157,Lophuromys.flavopunctatus,4.00733,4.00733,4.00733,4.00733,Lophuromys.flavopunctatus->n24,95.4,5.8,4.15784,5.8
1800,25,0.229734,Lophuromys.sikapusi,3.79549,3.79549,3.79549,3.79549,Lophuromys.sikapusi->n24,95.4,5.8,3.11937,5.8
1798,26,6.64867e-4,Uranomys.ruddi,3.85015,3.85015,3.85015,3.85015,Uranomys.ruddi->n22,92.05,12.5,0.114309,12.5
1801,27,0.0048069,Aethomys.chrysophilus,4.36374,4.36374,4.36374,4.36374,Aethomys.chrysophilus->n25,88.35,19.9,0.243598,19.9
1801,28,2.89284,Aethomys.hindei,4.67283,4.67283,4.67283,4.67283,Aethomys.hindei->n25,88.35,19.9,5.9759,19.9
1801,29,24.4963,Aethomys.kaiseri,5.28827,5.28827,5.28827,5.28827,Aethomys.kaiseri->n25,88.35,19.9,17.3897,19.9
1801,30,6.6518,Aethomys.namaquensis,3.86199,3.86199,3.86199,3.86199,Aethomys.namaquensis->n25,88.35,19.9,9.06172,19.9
1802,31,3.26194,Chiruromys.vates,3.77046,3.77046,3.77046,3.77046,Chiruromys.vates->n26,85.05,26.5,5.49899,26.5
1802,32,198.558,Hyomys.goliath,6.78219,6.78219,6.78219,6.78219,Hyomys.goliath->n26,85.05,26.5,42.9031,26.5
1802,33,3.21133e-4,Pogonomelomys.sevia,4.10923,4.10923,4.10923,4.10923,Pogonomelomys.sevia->n26,85.05,26.5,0.0545616,26.5
1803,34,0.125444,Apodemus.peninsulae,3.49347,3.49347,3.49347,3.49347,Apodemus.peninsulae->n27,90,16.6,1.36251,16.6
